country,date,sector,value20,value21,,country,date,sector,value20a,valuie21a,,,country,date,sector,value20b,value21b,,,country,date,sector,value20c,value21c,,country,date,sector,value20d,value21d
United States,1/3/2020,Power,3.65034,3.72185,,United States,1/3/2020,Industry,2.72751,2.7477,,,United States,1/3/2020,Domestic Aviation,0.52675,0.381931,,,United States,1/3/2020,International Aviation,0.232614,0.12114,,United States,1/3/2020,Residential,2.29615,2.8088
WORLD,1/3/2020,Power,38.1976,38.0303,,WORLD,1/3/2020,Industry,26.4734,27.084,,,WORLD,1/3/2020,Domestic Aviation,1.07613,0.841736,,,WORLD,1/3/2020,International Aviation,1.77013,0.761456,,WORLD,1/3/2020,Residential,16.0036,17.6793
Brazil,1/4/2020,Power,0.323605,0.352804,,Brazil,1/4/2020,Industry,0.337311,0.366312,,,Brazil,1/4/2020,Domestic Aviation,0.0325312,0.0302881,,,Brazil,1/4/2020,International Aviation,0.0213272,0.00787728,,Brazil,1/4/2020,Residential,0.0984519,0.0984519
China,1/4/2020,Power,15.2505,16.6761,,China,1/4/2020,Industry,9.60034,11.2698,,,China,1/4/2020,Domestic Aviation,0.177159,0.172875,,,China,1/4/2020,International Aviation,0.088578,0.0243764,,China,1/4/2020,Residential,3.27873,3.86042
EU27 & UK,1/4/2020,Power,2.01201,2.90341,,EU27 & UK,1/4/2020,Industry,1.2051,1.6732,,,EU27 & UK,1/4/2020,Domestic Aviation,0.0348177,0.023476,,,EU27 & UK,1/4/2020,International Aviation,0.489925,0.172878,,EU27 & UK,1/4/2020,Residential,2.65245,3.08165
India,1/4/2020,Power,3.43196,3.39118,,India,1/4/2020,Industry,2.16407,1.97122,,,India,1/4/2020,Domestic Aviation,0.0213587,0.0162235,,,India,1/4/2020,International Aviation,0.0376314,0.0124238,,India,1/4/2020,Residential,1.55666,0.589828
ROW,1/4/2020,Power,9.0692,9.32852,,ROW,1/4/2020,Industry,8.8618,9.64219,,,ROW,1/4/2020,Domestic Aviation,0.183573,0.145371,,,ROW,1/4/2020,International Aviation,0.872034,0.3112,,ROW,1/4/2020,Residential,5.05801,5.18599
Russia,1/4/2020,Power,2.61488,2.4975,,Russia,1/4/2020,Industry,0.637093,0.613754,,,Russia,1/4/2020,Domestic Aviation,0.0405575,0.0417591,,,Russia,1/4/2020,International Aviation,0.0370518,0.0105675,,Russia,1/4/2020,Residential,0.717294,0.863192
United States,1/4/2020,Power,3.42812,4.0547,,United States,1/4/2020,Industry,2.69125,2.82152,,,United States,1/4/2020,Domestic Aviation,0.492464,0.362072,,,United States,1/4/2020,International Aviation,0.239601,0.12427,,United States,1/4/2020,Residential,2.45273,2.79149
WORLD,1/4/2020,Power,37.4166,40.8359,,WORLD,1/4/2020,Industry,26.028,28.9353,,,WORLD,1/4/2020,Domestic Aviation,1.0099,0.816147,,,WORLD,1/4/2020,International Aviation,1.84192,0.679266,,WORLD,1/4/2020,Residential,16.3754,17.0994
Brazil,1/5/2020,Power,0.317714,0.349283,,Brazil,1/5/2020,Industry,0.33117,0.362657,,,Brazil,1/5/2020,Domestic Aviation,0.0310212,0.0302979,,,Brazil,1/5/2020,International Aviation,0.0202887,0.0075837,,Brazil,1/5/2020,Residential,0.0984519,0.0984519
China,1/5/2020,Power,15.6124,16.7385,,China,1/5/2020,Industry,9.82813,11.3119,,,China,1/5/2020,Domestic Aviation,0.173781,0.162283,,,China,1/5/2020,International Aviation,0.0847671,0.0290533,,China,1/5/2020,Residential,3.20165,4.10655
EU27 & UK,1/5/2020,Power,2.11162,3.18809,,EU27 & UK,1/5/2020,Industry,1.26476,1.83726,,,EU27 & UK,1/5/2020,Domestic Aviation,0.0392761,0.0190009,,,EU27 & UK,1/5/2020,International Aviation,0.490512,0.141585,,EU27 & UK,1/5/2020,Residential,2.75575,3.10403
India,1/5/2020,Power,3.24465,3.39497,,India,1/5/2020,Industry,2.04596,1.97342,,,India,1/5/2020,Domestic Aviation,0.0211656,0.0151509,,,India,1/5/2020,International Aviation,0.0374575,0.0131802,,India,1/5/2020,Residential,1.73143,0.576415
ROW,1/5/2020,Power,8.82137,9.46981,,ROW,1/5/2020,Industry,8.67756,9.50171,,,ROW,1/5/2020,Domestic Aviation,0.190562,0.135476,,,ROW,1/5/2020,International Aviation,0.875539,0.301645,,ROW,1/5/2020,Residential,5.42906,5.2826
Russia,1/5/2020,Power,2.6085,2.48836,,Russia,1/5/2020,Industry,0.635538,0.611507,,,Russia,1/5/2020,Domestic Aviation,0.0425093,0.0397757,,,Russia,1/5/2020,International Aviation,0.035552,0.00932448,,Russia,1/5/2020,Residential,0.70836,0.888526
United States,1/5/2020,Power,3.29865,4.02976,,United States,1/5/2020,Industry,2.6101,2.762,,,United States,1/5/2020,Domestic Aviation,0.493821,0.346209,,,United States,1/5/2020,International Aviation,0.242153,0.107488,,United States,1/5/2020,Residential,2.82497,2.76614
WORLD,1/5/2020,Power,37.3868,41.5151,,WORLD,1/5/2020,Industry,25.9596,29.0173,,,WORLD,1/5/2020,Domestic Aviation,1.01937,0.770499,,,WORLD,1/5/2020,International Aviation,1.84272,0.627723,,WORLD,1/5/2020,Residential,17.3536,17.4285
Brazil,1/6/2020,Power,0.309577,0.349773,,Brazil,1/6/2020,Industry,0.322689,0.363165,,,Brazil,1/6/2020,Domestic Aviation,0.0348123,0.0294129,,,Brazil,1/6/2020,International Aviation,0.0209789,0.00790684,,Brazil,1/6/2020,Residential,0.0984519,0.0984519
China,1/6/2020,Power,15.6124,16.8316,,China,1/6/2020,Industry,9.82813,11.3748,,,China,1/6/2020,Domestic Aviation,0.169253,0.161628,,,China,1/6/2020,International Aviation,0.0820213,0.030072,,China,1/6/2020,Residential,3.18831,4.55385
EU27 & UK,1/6/2020,Power,2.45157,3.26681,,EU27 & UK,1/6/2020,Industry,1.46837,1.88262,,,EU27 & UK,1/6/2020,Domestic Aviation,0.0443658,0.0193204,,,EU27 & UK,1/6/2020,International Aviation,0.458389,0.146007,,EU27 & UK,1/6/2020,Residential,2.91259,3.15859
India,1/6/2020,Power,3.31411,3.44178,,India,1/6/2020,Industry,2.08976,2.00063,,,India,1/6/2020,Domestic Aviation,0.0214552,0.0163943,,,India,1/6/2020,International Aviation,0.034192,0.0158069,,India,1/6/2020,Residential,1.6355,0.644392
ROW,1/6/2020,Power,9.65587,9.42497,,ROW,1/6/2020,Industry,9.38693,9.46466,,,ROW,1/6/2020,Domestic Aviation,0.200266,0.132448,,,ROW,1/6/2020,International Aviation,0.81255,0.314989,,ROW,1/6/2020,Residential,5.5942,5.28073
Russia,1/6/2020,Power,2.62269,2.47489,,Russia,1/6/2020,Industry,0.638995,0.608198,,,Russia,1/6/2020,Domestic Aviation,0.0425984,0.0414907,,,Russia,1/6/2020,International Aviation,0.0304828,0.00883061,,Russia,1/6/2020,Residential,0.739018,0.927126
United States,1/6/2020,Power,3.82137,4.06548,,United States,1/6/2020,Industry,2.81232,2.7437,,,United States,1/6/2020,Domestic Aviation,0.498417,0.315733,,,United States,1/6/2020,International Aviation,0.233545,0.109246,,United States,1/6/2020,Residential,2.81644,2.77913
WORLD,1/6/2020,Power,39.4414,41.8307,,WORLD,1/6/2020,Industry,27.23,29.1368,,,WORLD,1/6/2020,Domestic Aviation,1.03759,0.73463,,,WORLD,1/6/2020,International Aviation,1.72618,0.651636,,WORLD,1/6/2020,Residential,17.5281,18.0901
Brazil,1/7/2020,Power,0.317706,0.345316,,Brazil,1/7/2020,Industry,0.331161,0.358538,,,Brazil,1/7/2020,Domestic Aviation,0.0340563,0.0293565,,,Brazil,1/7/2020,International Aviation,0.0189361,0.00702976,,Brazil,1/7/2020,Residential,0.0984519,0.0984519
