country,date,sector,value20,,country,date,sector,value21,,Country,date,sector,value19
Brazil,1/3/2020,Domestic Aviation,0.0347073,,Brazil,1/3/2021,Domestic Aviation,0.026128,,Brazil,3/1/2019,Domestic Aviation,0.0333828
Brazil,1/3/2020,Ground Transport,0.446859,,Brazil,1/3/2021,Ground Transport,0.122148,,Brazil,3/1/2019,Ground Transport,0.418676
Brazil,1/3/2020,Industry,0.336545,,Brazil,1/3/2021,Industry,0.293002,,Brazil,3/1/2019,Industry,0.272501
Brazil,1/3/2020,International Aviation,0.0195571,,Brazil,1/3/2021,International Aviation,0.00860448,,Brazil,3/1/2019,International Aviation,0.0209149
Brazil,1/3/2020,Power,0.322871,,Brazil,1/3/2021,Power,0.282197,,Brazil,3/1/2019,Power,0.122232
Brazil,1/3/2020,Residential,0.0984519,,Brazil,1/3/2021,Residential,0.0984519,,Brazil,3/1/2019,Residential,0.0984519
China,1/3/2020,Domestic Aviation,0.175181,,China,1/3/2021,Domestic Aviation,0.181921,,China,3/1/2019,Domestic Aviation,0.163078
China,1/3/2020,Ground Transport,2.61241,,China,1/3/2021,Ground Transport,2.47362,,China,3/1/2019,Ground Transport,2.52974
China,1/3/2020,Industry,9.64076,,China,1/3/2021,Industry,11.0232,,China,3/1/2019,Industry,9.93643
China,1/3/2020,International Aviation,0.0846111,,China,1/3/2021,International Aviation,0.0303584,,China,3/1/2019,International Aviation,0.0785732
China,1/3/2020,Power,15.3147,,China,1/3/2021,Power,16.3112,,China,3/1/2019,Power,14.139
China,1/3/2020,Residential,3.38281,,China,1/3/2021,Residential,3.96899,,China,3/1/2019,Residential,3.87168
India,1/3/2020,Domestic Aviation,0.0214139,,India,1/3/2021,Domestic Aviation,0.0154454,,India,3/1/2019,Domestic Aviation,0.0199101
India,1/3/2020,Ground Transport,0.848483,,India,1/3/2021,Ground Transport,0.679939,,India,3/1/2019,Ground Transport,0.841574
India,1/3/2020,Industry,2.12503,,India,1/3/2021,Industry,1.93473,,India,3/1/2019,Industry,2.11367
India,1/3/2020,International Aviation,0.0362615,,India,1/3/2021,International Aviation,0.0150328,,India,3/1/2019,International Aviation,0.0346596
India,1/3/2020,Power,3.37005,,India,1/3/2021,Power,3.32841,,India,3/1/2019,Power,3.41466
India,1/3/2020,Residential,1.35679,,India,1/3/2021,Residential,0.900979,,India,3/1/2019,Residential,1.59139
Russia,1/3/2020,Domestic Aviation,0.0439767,,Russia,1/3/2021,Domestic Aviation,0.0420806,,Russia,3/1/2019,Domestic Aviation,0.0375244
Russia,1/3/2020,Ground Transport,0.578099,,Russia,1/3/2021,Ground Transport,0.492543,,Russia,3/1/2019,Ground Transport,0.511554
Russia,1/3/2020,Industry,0.64031,,Russia,1/3/2021,Industry,0.596925,,Russia,3/1/2019,Industry,0.622871
Russia,1/3/2020,International Aviation,0.0342188,,Russia,1/3/2021,International Aviation,0.0127882,,Russia,3/1/2019,International Aviation,0.0323907
Russia,1/3/2020,Power,2.62808,,Russia,1/3/2021,Power,2.42902,,Russia,3/1/2019,Power,2.87231
Russia,1/3/2020,Residential,0.730222,,Russia,1/3/2021,Residential,0.871592,,Russia,3/1/2019,Residential,0.840178
Brazil,1/4/2020,Domestic Aviation,0.0325312,,Brazil,1/4/2021,Domestic Aviation,0.0302881,,Brazil,4/1/2019,Domestic Aviation,0.032854
Brazil,1/4/2020,Ground Transport,0.390397,,Brazil,1/4/2021,Ground Transport,0.395974,,Brazil,4/1/2019,Ground Transport,0.443308
Brazil,1/4/2020,Industry,0.337311,,Brazil,1/4/2021,Industry,0.366312,,Brazil,4/1/2019,Industry,0.246056
Brazil,1/4/2020,International Aviation,0.0213272,,Brazil,1/4/2021,International Aviation,0.00787728,,Brazil,4/1/2019,International Aviation,0.0205183
Brazil,1/4/2020,Power,0.323605,,Brazil,1/4/2021,Power,0.352804,,Brazil,4/1/2019,Power,0.11037
Brazil,1/4/2020,Residential,0.0984519,,Brazil,1/4/2021,Residential,0.0984519,,Brazil,4/1/2019,Residential,0.0984519
China,1/4/2020,Domestic Aviation,0.177159,,China,1/4/2021,Domestic Aviation,0.172875,,China,4/1/2019,Domestic Aviation,0.164228
China,1/4/2020,Ground Transport,2.4387,,China,1/4/2021,Ground Transport,2.48775,,China,4/1/2019,Ground Transport,2.57404
China,1/4/2020,Industry,9.60034,,China,1/4/2021,Industry,11.2698,,China,4/1/2019,Industry,10.2667
China,1/4/2020,International Aviation,0.088578,,China,1/4/2021,International Aviation,0.0243764,,China,4/1/2019,International Aviation,0.0785603
China,1/4/2020,Power,15.2505,,China,1/4/2021,Power,16.6761,,China,4/1/2019,Power,14.609
China,1/4/2020,Residential,3.27873,,China,1/4/2021,Residential,3.86042,,China,4/1/2019,Residential,3.82645
India,1/4/2020,Domestic Aviation,0.0213587,,India,1/4/2021,Domestic Aviation,0.0162235,,India,4/1/2019,Domestic Aviation,0.0204366
India,1/4/2020,Ground Transport,0.841096,,India,1/4/2021,Ground Transport,0.833372,,India,4/1/2019,Ground Transport,0.842256
India,1/4/2020,Industry,2.16407,,India,1/4/2021,Industry,1.97122,,India,4/1/2019,Industry,2.13425
India,1/4/2020,International Aviation,0.0376314,,India,1/4/2021,International Aviation,0.0124238,,India,4/1/2019,International Aviation,0.0377498
India,1/4/2020,Power,3.43196,,India,1/4/2021,Power,3.39118,,India,4/1/2019,Power,3.4479
India,1/4/2020,Residential,1.55666,,India,1/4/2021,Residential,0.589828,,India,4/1/2019,Residential,1.6022
Russia,1/4/2020,Domestic Aviation,0.0405575,,Russia,1/4/2021,Domestic Aviation,0.0417591,,Russia,4/1/2019,Domestic Aviation,0.0402467
Russia,1/4/2020,Ground Transport,0.602143,,Russia,1/4/2021,Ground Transport,0.577423,,Russia,4/1/2019,Ground Transport,0.514962
Russia,1/4/2020,Industry,0.637093,,Russia,1/4/2021,Industry,0.613754,,Russia,4/1/2019,Industry,0.61876
Russia,1/4/2020,International Aviation,0.0370518,,Russia,1/4/2021,International Aviation,0.0105675,,Russia,4/1/2019,International Aviation,0.0307936
Russia,1/4/2020,Power,2.61488,,Russia,1/4/2021,Power,2.4975,,Russia,4/1/2019,Power,2.85335
Russia,1/4/2020,Residential,0.717294,,Russia,1/4/2021,Residential,0.863192,,Russia,4/1/2019,Residential,0.877773
Brazil,1/5/2020,Domestic Aviation,0.0310212,,Brazil,1/5/2021,Domestic Aviation,0.0302979,,Brazil,5/1/2019,Domestic Aviation,0.0312063
Brazil,1/5/2020,Ground Transport,0.292273,,Brazil,1/5/2021,Ground Transport,0.427563,,Brazil,5/1/2019,Ground Transport,0.371087
Brazil,1/5/2020,Industry,0.33117,,Brazil,1/5/2021,Industry,0.362657,,Brazil,5/1/2019,Industry,0.26446
Brazil,1/5/2020,International Aviation,0.0202887,,Brazil,1/5/2021,International Aviation,0.0075837,,Brazil,5/1/2019,International Aviation,0.0221384
Brazil,1/5/2020,Power,0.317714,,Brazil,1/5/2021,Power,0.349283,,Brazil,5/1/2019,Power,0.118626
Brazil,1/5/2020,Residential,0.0984519,,Brazil,1/5/2021,Residential,0.0984519,,Brazil,5/1/2019,Residential,0.0984519
China,1/5/2020,Domestic Aviation,0.173781,,China,1/5/2021,Domestic Aviation,0.162283,,China,5/1/2019,Domestic Aviation,0.159385
China,1/5/2020,Ground Transport,2.35542,,China,1/5/2021,Ground Transport,2.48055,,China,5/1/2019,Ground Transport,2.5147
China,1/5/2020,Industry,9.82813,,China,1/5/2021,Industry,11.3119,,China,5/1/2019,Industry,10.2609
China,1/5/2020,International Aviation,0.0847671,,China,1/5/2021,International Aviation,0.0290533,,China,5/1/2019,International Aviation,0.0849021
China,1/5/2020,Power,15.6124,,China,1/5/2021,Power,16.7385,,China,5/1/2019,Power,14.6007
China,1/5/2020,Residential,3.20165,,China,1/5/2021,Residential,4.10655,,China,5/1/2019,Residential,3.90922
