country,date,sector,value20,value21,,country,date,sector,value20a,value21a,,country,date,sector,value20b,value21b,,country,date,sector,value20c,value21c,,country,date,sector,value20d,value21d,,country,date,sector,value20e,value21e
Russia,3/3/2020,Power,2.54082,2.45171,,Russia,3/3/2020,Industry,0.851803,0.829186,,Russia,3/3/2020,Domestic Aviation,0.0385598,0.0374282,,Russia,3/3/2020,International Aviation,0.027312,0.0121546,,Russia,3/3/2020,Ground Transport,0.681853,0.69695,,Russia,3/3/2020,Residential,0.602465,0.723666
Brazil,3/4/2020,Power,0.105477,0.242616,,Brazil,3/4/2020,Industry,0.22083,0.367725,,Brazil,3/4/2020,Domestic Aviation,0.0305666,0.0234362,,Brazil,3/4/2020,International Aviation,0.0173625,0.00805051,,Brazil,3/4/2020,Ground Transport,0.499695,0.484566,,Brazil,3/4/2020,Residential,0.0984519,0.0984519
China,3/4/2020,Power,10.7536,14.6743,,China,3/4/2020,Industry,9.96896,12.912,,China,3/4/2020,Domestic Aviation,0.0658933,0.193955,,China,3/4/2020,International Aviation,0.0211579,0.033524,,China,3/4/2020,Ground Transport,1.85384,2.43586,,China,3/4/2020,Residential,3.18043,2.80024
India,3/4/2020,Power,3.44928,4.04357,,India,3/4/2020,Industry,1.77089,2.22779,,India,3/4/2020,Domestic Aviation,0.0215053,0.0174101,,India,3/4/2020,International Aviation,0.0329004,0.0174165,,India,3/4/2020,Ground Transport,0.848689,0.830902,,India,3/4/2020,Residential,0.39403,0.382502
Russia,3/4/2020,Power,2.55935,2.43062,,Russia,3/4/2020,Industry,0.858018,0.822053,,Russia,3/4/2020,Domestic Aviation,0.037471,0.0420967,,Russia,3/4/2020,International Aviation,0.0296787,0.0127049,,Russia,3/4/2020,Ground Transport,0.681072,0.698243,,Russia,3/4/2020,Residential,0.587596,0.773802
Brazil,3/5/2020,Power,0.104503,0.192492,,Brazil,3/5/2020,Industry,0.218791,0.291754,,Brazil,3/5/2020,Domestic Aviation,0.0311768,0.0213834,,Brazil,3/5/2020,International Aviation,0.0179001,0.00620283,,Brazil,3/5/2020,Ground Transport,0.501179,0.415212,,Brazil,3/5/2020,Residential,0.0984519,0.0984519
China,3/5/2020,Power,10.4565,14.9883,,China,3/5/2020,Industry,9.69353,13.1882,,China,3/5/2020,Domestic Aviation,0.0661103,0.186799,,China,3/5/2020,International Aviation,0.0186111,0.0287281,,China,3/5/2020,Ground Transport,1.82346,2.43958,,China,3/5/2020,Residential,2.89655,3.20745
India,3/5/2020,Power,3.3709,3.94363,,India,3/5/2020,Industry,1.73066,2.17273,,India,3/5/2020,Domestic Aviation,0.0215449,0.0167333,,India,3/5/2020,International Aviation,0.0325193,0.0167054,,India,3/5/2020,Ground Transport,0.854212,0.832037,,India,3/5/2020,Residential,0.430395,0.366985
Russia,3/5/2020,Power,2.54342,2.40185,,Russia,3/5/2020,Industry,0.852675,0.812321,,Russia,3/5/2020,Domestic Aviation,0.0391224,0.0412271,,Russia,3/5/2020,International Aviation,0.0295504,0.0129066,,Russia,3/5/2020,Ground Transport,0.685417,0.656751,,Russia,3/5/2020,Residential,0.607525,0.827617
Brazil,3/6/2020,Power,0.102037,0.186161,,Brazil,3/6/2020,Industry,0.213628,0.282158,,Brazil,3/6/2020,Domestic Aviation,0.0316042,0.01748,,Brazil,3/6/2020,International Aviation,0.0176137,0.0065169,,Brazil,3/6/2020,Ground Transport,0.501939,0.266786,,Brazil,3/6/2020,Residential,0.0984519,0.0984519
China,3/6/2020,Power,10.9792,14.8663,,China,3/6/2020,Industry,10.1781,13.0809,,China,3/6/2020,Domestic Aviation,0.0706419,0.192409,,China,3/6/2020,International Aviation,0.0210972,0.0340981,,China,3/6/2020,Ground Transport,1.94833,2.41901,,China,3/6/2020,Residential,2.60656,3.07377
India,3/6/2020,Power,3.23576,3.84368,,India,3/6/2020,Industry,1.66128,2.11767,,India,3/6/2020,Domestic Aviation,0.0217276,0.0164278,,India,3/6/2020,International Aviation,0.0337643,0.0184123,,India,3/6/2020,Ground Transport,0.864564,0.759399,,India,3/6/2020,Residential,0.650625,0.370043
Russia,3/6/2020,Power,2.50528,2.32872,,Russia,3/6/2020,Industry,0.83989,0.787589,,Russia,3/6/2020,Domestic Aviation,0.0432484,0.0389528,,Russia,3/6/2020,International Aviation,0.0300588,0.0119758,,Russia,3/6/2020,Ground Transport,0.690605,0.593937,,Russia,3/6/2020,Residential,0.634542,0.844733
Brazil,3/7/2020,Power,0.130821,0.231491,,Brazil,3/7/2020,Industry,0.27389,0.350863,,Brazil,3/7/2020,Domestic Aviation,0.0293329,0.0217686,,Brazil,3/7/2020,International Aviation,0.0183183,0.00666208,,Brazil,3/7/2020,Ground Transport,0.460757,0.459853,,Brazil,3/7/2020,Residential,0.0984519,0.0984519
China,3/7/2020,Power,10.6986,14.9286,,China,3/7/2020,Industry,9.91795,13.1357,,China,3/7/2020,Domestic Aviation,0.0620213,0.190022,,China,3/7/2020,International Aviation,0.0215818,0.0241076,,China,3/7/2020,Ground Transport,1.31619,2.40872,,China,3/7/2020,Residential,2.41367,2.79767
India,3/7/2020,Power,3.376,3.98167,,India,3/7/2020,Industry,1.73327,2.19369,,India,3/7/2020,Domestic Aviation,0.0216162,0.017226,,India,3/7/2020,International Aviation,0.032694,0.0136371,,India,3/7/2020,Ground Transport,0.84184,0.823185,,India,3/7/2020,Residential,0.60713,0.376915
Russia,3/7/2020,Power,2.5378,2.30288,,Russia,3/7/2020,Industry,0.850793,0.77885,,Russia,3/7/2020,Domestic Aviation,0.0390675,0.0399245,,Russia,3/7/2020,International Aviation,0.0328732,0.0104576,,Russia,3/7/2020,Ground Transport,0.620444,0.55893,,Russia,3/7/2020,Residential,0.601903,0.823528
Brazil,3/8/2020,Power,0.136779,0.239029,,Brazil,3/8/2020,Industry,0.286364,0.362288,,Brazil,3/8/2020,Domestic Aviation,0.0269085,0.0204993,,Brazil,3/8/2020,International Aviation,0.0179851,0.00674126,,Brazil,3/8/2020,Ground Transport,0.353387,0.462708,,Brazil,3/8/2020,Residential,0.0984519,0.0984519
China,3/8/2020,Power,10.4868,15.0376,,China,3/8/2020,Industry,9.72158,13.2316,,China,3/8/2020,Domestic Aviation,0.068129,0.190007,,China,3/8/2020,International Aviation,0.0205568,0.0286163,,China,3/8/2020,Ground Transport,1.22616,2.39454,,China,3/8/2020,Residential,2.40987,2.6283
India,3/8/2020,Power,3.27287,4.09578,,India,3/8/2020,Industry,1.68032,2.25656,,India,3/8/2020,Domestic Aviation,0.0210708,0.0156666,,India,3/8/2020,International Aviation,0.0336202,0.0141468,,India,3/8/2020,Ground Transport,0.750217,0.827447,,India,3/8/2020,Residential,0.445431,0.365369
Russia,3/8/2020,Power,2.45376,2.48859,,Russia,3/8/2020,Industry,0.822618,0.84166,,Russia,3/8/2020,Domestic Aviation,0.038316,0.0383903,,Russia,3/8/2020,International Aviation,0.0311074,0.0101897,,Russia,3/8/2020,Ground Transport,0.491091,0.681887,,Russia,3/8/2020,Residential,0.568339,0.91512
Brazil,3/9/2020,Power,0.142121,0.24048,,Brazil,3/9/2020,Industry,0.297549,0.364488,,Brazil,3/9/2020,Domestic Aviation,0.0316736,0.0205104,,Brazil,3/9/2020,International Aviation,0.0189165,0.00670967,,Brazil,3/9/2020,Ground Transport,0.493866,0.468491,,Brazil,3/9/2020,Residential,0.0984519,0.0984519
China,3/9/2020,Power,11.1195,14.9753,,China,3/9/2020,Industry,10.3081,13.1768,,China,3/9/2020,Domestic Aviation,0.0633754,0.191227,,China,3/9/2020,International Aviation,0.0180911,0.033296,,China,3/9/2020,Ground Transport,2.16082,2.39477,,China,3/9/2020,Residential,2.72922,2.486
India,3/9/2020,Power,3.25276,4.13773,,India,3/9/2020,Industry,1.67,2.27967,,India,3/9/2020,Domestic Aviation,0.0211212,0.0170805,,India,3/9/2020,International Aviation,0.0277603,0.0174382,,India,3/9/2020,Ground Transport,0.791826,0.833921,,India,3/9/2020,Residential,0.421464,0.364608
Russia,3/9/2020,Power,2.45099,2.56738,,Russia,3/9/2020,Industry,0.821691,0.868305,,Russia,3/9/2020,Domestic Aviation,0.0409334,0.0363387,,Russia,3/9/2020,International Aviation,0.0281039,0.0103768,,Russia,3/9/2020,Ground Transport,0.537253,0.692841,,Russia,3/9/2020,Residential,0.540325,0.990895
Brazil,3/10/2020,Power,0.139102,0.236885,,Brazil,3/10/2020,Industry,0.291228,0.359039,,Brazil,3/10/2020,Domestic Aviation,0.0313828,0.0204417,,Brazil,3/10/2020,International Aviation,0.0172405,0.00514995,,Brazil,3/10/2020,Ground Transport,0.49898,0.466944,,Brazil,3/10/2020,Residential,0.0984519,0.0984519
China,3/10/2020,Power,11.0287,15.0064,,China,3/10/2020,Industry,10.224,13.2042,,China,3/10/2020,Domestic Aviation,0.0634389,0.192299,,China,3/10/2020,International Aviation,0.0190902,0.0315898,,China,3/10/2020,Ground Transport,2.0326,2.39541,,China,3/10/2020,Residential,2.80135,2.47166
India,3/10/2020,Power,2.85914,4.11459,,India,3/10/2020,Industry,1.46791,2.26692,,India,3/10/2020,Domestic Aviation,0.0205489,0.0163457,,India,3/10/2020,International Aviation,0.0283419,0.0176819,,India,3/10/2020,Ground Transport,0.189772,0.796097,,India,3/10/2020,Residential,0.397645,0.3709
Russia,3/10/2020,Power,2.47219,2.59863,,Russia,3/10/2020,Industry,0.828795,0.878874,,Russia,3/10/2020,Domestic Aviation,0.0392649,0.0367134,,Russia,3/10/2020,International Aviation,0.0283786,0.0115106,,Russia,3/10/2020,Ground Transport,0.678125,0.694711,,Russia,3/10/2020,Residential,0.535035,0.98316
Brazil,3/11/2020,Power,0.160718,0.245861,,Brazil,3/11/2020,Industry,0.336484,0.372643,,Brazil,3/11/2020,Domestic Aviation,0.0310133,0.0209077,,Brazil,3/11/2020,International Aviation,0.0172236,0.00757212,,Brazil,3/11/2020,Ground Transport,0.498923,0.472985,,Brazil,3/11/2020,Residential,0.0984519,0.0984519
China,3/11/2020,Power,10.9269,14.7885,,China,3/11/2020,Industry,10.1296,13.0125,,China,3/11/2020,Domestic Aviation,0.0681522,0.196074,,China,3/11/2020,International Aviation,0.0208845,0.0321097,,China,3/11/2020,Ground Transport,2.01206,2.40863,,China,3/11/2020,Residential,2.46245,2.39216
India,3/11/2020,Power,3.21584,3.95684,,India,3/11/2020,Industry,1.65105,2.18001,,India,3/11/2020,Domestic Aviation,0.0218557,0.0170049,,India,3/11/2020,International Aviation,0.0308343,0.0176559,,India,3/11/2020,Ground Transport,0.788858,0.837052,,India,3/11/2020,Residential,0.425903,0.387153
Russia,3/11/2020,Power,2.43112,2.5699,,Russia,3/11/2020,Industry,0.815028,0.869158,,Russia,3/11/2020,Domestic Aviation,0.0383589,0.0395215,,Russia,3/11/2020,International Aviation,0.0267201,0.0125707,,Russia,3/11/2020,Ground Transport,0.679734,0.694211,,Russia,3/11/2020,Residential,0.52286,0.919201
Brazil,3/12/2020,Power,0.16938,0.244805,,Brazil,3/12/2020,Industry,0.354618,0.371043,,Brazil,3/12/2020,Domestic Aviation,0.0319555,0.0184108,,Brazil,3/12/2020,International Aviation,0.0177983,0.00702411,,Brazil,3/12/2020,Ground Transport,0.49942,0.389268,,Brazil,3/12/2020,Residential,0.0984519,0.0984519
China,3/12/2020,Power,10.7756,14.254,,China,3/12/2020,Industry,9.98936,12.5422,,China,3/12/2020,Domestic Aviation,0.0638233,0.190784,,China,3/12/2020,International Aviation,0.0197849,0.0308584,,China,3/12/2020,Ground Transport,2.02326,2.45905,,China,3/12/2020,Residential,2.48596,2.26468
India,3/12/2020,Power,3.21584,3.84718,,India,3/12/2020,Industry,1.65105,2.1196,,India,3/12/2020,Domestic Aviation,0.021702,0.0163473,,India,3/12/2020,International Aviation,0.0302654,0.0169427,,India,3/12/2020,Ground Transport,0.83348,0.825188,,India,3/12/2020,Residential,0.409252,0.367444
Russia,3/12/2020,Power,2.40679,2.49841,,Russia,3/12/2020,Industry,0.806872,0.84498,,Russia,3/12/2020,Domestic Aviation,0.0400741,0.0379555,,Russia,3/12/2020,International Aviation,0.0275482,0.0126604,,Russia,3/12/2020,Ground Transport,0.681075,0.640893,,Russia,3/12/2020,Residential,0.516949,0.826888
Brazil,3/13/2020,Power,0.199,0.200769,,Brazil,3/13/2020,Industry,0.416632,0.3043,,Brazil,3/13/2020,Domestic Aviation,0.0323508,0.0145414,,Brazil,3/13/2020,International Aviation,0.0180897,0.00712248,,Brazil,3/13/2020,Ground Transport,0.499018,0.234806,,Brazil,3/13/2020,Residential,0.0984519,0.0984519
China,3/13/2020,Power,10.9544,14.1762,,China,3/13/2020,Industry,10.1551,12.4737,,China,3/13/2020,Domestic Aviation,0.0682696,0.196738,,China,3/13/2020,International Aviation,0.0216471,0.0331138,,China,3/13/2020,Ground Transport,2.1102,2.47127,,China,3/13/2020,Residential,2.73057,2.0208
India,3/13/2020,Power,3.29208,3.82419,,India,3/13/2020,Industry,1.69019,2.10693,,India,3/13/2020,Domestic Aviation,0.0219101,0.0164271,,India,3/13/2020,International Aviation,0.0289393,0.0184956,,India,3/13/2020,Ground Transport,0.830371,0.77324,,India,3/13/2020,Residential,0.429249,0.364882
Russia,3/13/2020,Power,2.43152,2.37861,,Russia,3/13/2020,Industry,0.815161,0.804461,,Russia,3/13/2020,Domestic Aviation,0.0415827,0.0406754,,Russia,3/13/2020,International Aviation,0.0264843,0.0133752,,Russia,3/13/2020,Ground Transport,0.683349,0.551991,,Russia,3/13/2020,Residential,0.52684,0.748864
Brazil,3/14/2020,Power,0.187936,0.220582,,Brazil,3/14/2020,Industry,0.393467,0.334329,,Brazil,3/14/2020,Domestic Aviation,0.0299296,0.0181162,,Brazil,3/14/2020,International Aviation,0.0184941,0.00617593,,Brazil,3/14/2020,Ground Transport,0.42798,0.445018,,Brazil,3/14/2020,Residential,0.0984519,0.0984519
China,3/14/2020,Power,10.6848,14.0984,,China,3/14/2020,Industry,9.9052,12.4052,,China,3/14/2020,Domestic Aviation,0.0667124,0.18801,,China,3/14/2020,International Aviation,0.0231604,0.0268441,,China,3/14/2020,Ground Transport,1.53732,2.46642,,China,3/14/2020,Residential,2.53487,2.05121
India,3/14/2020,Power,3.26069,3.99064,,India,3/14/2020,Industry,1.67407,2.19863,,India,3/14/2020,Domestic Aviation,0.0216899,0.0171197,,India,3/14/2020,International Aviation,0.0284175,0.0149702,,India,3/14/2020,Ground Transport,0.819193,0.836896,,India,3/14/2020,Residential,0.520573,0.356302
Russia,3/14/2020,Power,2.40003,2.41401,,Russia,3/14/2020,Industry,0.804604,0.816436,,Russia,3/14/2020,Domestic Aviation,0.0373019,0.0384615,,Russia,3/14/2020,International Aviation,0.0285707,0.0108174,,Russia,3/14/2020,Ground Transport,0.621617,0.685266,,Russia,3/14/2020,Residential,0.569823,0.700564
Brazil,3/15/2020,Power,0.179743,0.244651,,Brazil,3/15/2020,Industry,0.376315,0.370809,,Brazil,3/15/2020,Domestic Aviation,0.0271663,0.0162554,,Brazil,3/15/2020,International Aviation,0.0179169,0.00641145,,Brazil,3/15/2020,Ground Transport,0.352268,0.44795,,Brazil,3/15/2020,Residential,0.0984519,0.0984519
China,3/15/2020,Power,10.8994,14.0724,,China,3/15/2020,Industry,10.1041,12.3824,,China,3/15/2020,Domestic Aviation,0.081077,0.19412,,China,3/15/2020,International Aviation,0.0206576,0.0291226,,China,3/15/2020,Ground Transport,1.48213,2.45692,,China,3/15/2020,Residential,2.38841,2.33232
India,3/15/2020,Power,3.11496,4.04628,,India,3/15/2020,Industry,1.59925,2.22929,,India,3/15/2020,Domestic Aviation,0.0213544,0.015732,,India,3/15/2020,International Aviation,0.0269467,0.014838,,India,3/15/2020,Ground Transport,0.717036,0.817712,,India,3/15/2020,Residential,0.435731,0.347312
Russia,3/15/2020,Power,2.38292,2.38283,,Russia,3/15/2020,Industry,0.798869,0.805888,,Russia,3/15/2020,Domestic Aviation,0.0421144,0.0372283,,Russia,3/15/2020,International Aviation,0.0285421,0.0115498,,Russia,3/15/2020,Ground Transport,0.532169,0.688194,,Russia,3/15/2020,Residential,0.655617,0.693835
Brazil,3/16/2020,Power,0.190128,0.239514,,Brazil,3/16/2020,Industry,0.398056,0.363023,,Brazil,3/16/2020,Domestic Aviation,0.0303232,0.0159518,,Brazil,3/16/2020,International Aviation,0.017565,0.00652945,,Brazil,3/16/2020,Ground Transport,0.474164,0.448429,,Brazil,3/16/2020,Residential,0.0984519,0.0984519
China,3/16/2020,Power,11.103,13.9271,,China,3/16/2020,Industry,10.2928,12.2545,,China,3/16/2020,Domestic Aviation,0.0740121,0.197444,,China,3/16/2020,International Aviation,0.0196991,0.0351844,,China,3/16/2020,Ground Transport,2.20695,2.45811,,China,3/16/2020,Residential,2.35283,2.3572
India,3/16/2020,Power,3.24814,4.09099,,India,3/16/2020,Industry,1.66763,2.25392,,India,3/16/2020,Domestic Aviation,0.0216513,0.016591,,India,3/16/2020,International Aviation,0.0215052,0.017053,,India,3/16/2020,Ground Transport,0.829145,0.832774,,India,3/16/2020,Residential,0.382626,0.347765
Russia,3/16/2020,Power,2.45502,2.39611,,Russia,3/16/2020,Industry,0.823041,0.810381,,Russia,3/16/2020,Domestic Aviation,0.0412573,0.038179,,Russia,3/16/2020,International Aviation,0.0245239,0.0109945,,Russia,3/16/2020,Ground Transport,0.68424,0.685628,,Russia,3/16/2020,Residential,0.655146,0.69715
Brazil,3/17/2020,Power,0.197333,0.232851,,Brazil,3/17/2020,Industry,0.413142,0.352925,,Brazil,3/17/2020,Domestic Aviation,0.0275293,0.0166504,,Brazil,3/17/2020,International Aviation,0.0174657,0.00674215,,Brazil,3/17/2020,Ground Transport,0.469689,0.455468,,Brazil,3/17/2020,Residential,0.0984519,0.0984519
China,3/17/2020,Power,11.1332,14.2281,,China,3/17/2020,Industry,10.3209,12.5194,,China,3/17/2020,Domestic Aviation,0.0705593,0.195848,,China,3/17/2020,International Aviation,0.0197232,0.0332104,,China,3/17/2020,Ground Transport,2.13609,2.44817,,China,3/17/2020,Residential,2.08734,2.50943
India,3/17/2020,Power,3.37883,4.13874,,India,3/17/2020,Industry,1.73473,2.28023,,India,3/17/2020,Domestic Aviation,0.020478,0.016347,,India,3/17/2020,International Aviation,0.0207255,0.0188866,,India,3/17/2020,Ground Transport,0.821684,0.82604,,India,3/17/2020,Residential,0.374738,0.34889
Russia,3/17/2020,Power,2.42768,2.39933,,Russia,3/17/2020,Industry,0.813873,0.811471,,Russia,3/17/2020,Domestic Aviation,0.0378099,0.0376299,,Russia,3/17/2020,International Aviation,0.020201,0.0120142,,Russia,3/17/2020,Ground Transport,0.685484,0.686728,,Russia,3/17/2020,Residential,0.607914,0.691969
Brazil,3/18/2020,Power,0.163527,0.227238,,Brazil,3/18/2020,Industry,0.342364,0.344418,,Brazil,3/18/2020,Domestic Aviation,0.0248447,0.0174304,,Brazil,3/18/2020,International Aviation,0.0143388,0.00708274,,Brazil,3/18/2020,Ground Transport,0.449523,0.456089,,Brazil,3/18/2020,Residential,0.0984519,0.0984519
China,3/18/2020,Power,10.5555,13.966,,China,3/18/2020,Industry,9.78534,12.2888,,China,3/18/2020,Domestic Aviation,0.075034,0.200524,,China,3/18/2020,International Aviation,0.0237131,0.0342991,,China,3/18/2020,Ground Transport,2.15509,2.4525,,China,3/18/2020,Residential,1.88056,2.6119
India,3/18/2020,Power,3.46212,4.13078,,India,3/18/2020,Industry,1.77749,2.27584,,India,3/18/2020,Domestic Aviation,0.0192942,0.0170435,,India,3/18/2020,International Aviation,0.0189084,0.0184177,,India,3/18/2020,Ground Transport,0.816889,0.833755,,India,3/18/2020,Residential,0.374289,0.345475
Russia,3/18/2020,Power,2.42769,2.42171,,Russia,3/18/2020,Industry,0.813877,0.81904,,Russia,3/18/2020,Domestic Aviation,0.03962,0.0412408,,Russia,3/18/2020,International Aviation,0.0204457,0.0142305,,Russia,3/18/2020,Ground Transport,0.674572,0.6914,,Russia,3/18/2020,Residential,0.556736,0.68989
Brazil,3/19/2020,Power,0.164709,0.221602,,Brazil,3/19/2020,Industry,0.34484,0.335875,,Brazil,3/19/2020,Domestic Aviation,0.0241634,0.0152775,,Brazil,3/19/2020,International Aviation,0.0147894,0.00672021,,Brazil,3/19/2020,Ground Transport,0.430117,0.379088,,Brazil,3/19/2020,Residential,0.0984519,0.0984519
China,3/19/2020,Power,11.048,13.9505,,China,3/19/2020,Industry,10.2418,12.2751,,China,3/19/2020,Domestic Aviation,0.0687762,0.198531,,China,3/19/2020,International Aviation,0.02145,0.0318091,,China,3/19/2020,Ground Transport,2.16452,2.46543,,China,3/19/2020,Residential,2.08949,2.6995
India,3/19/2020,Power,3.49268,4.09025,,India,3/19/2020,Industry,1.79318,2.25351,,India,3/19/2020,Domestic Aviation,0.0182295,0.0165359,,India,3/19/2020,International Aviation,0.0165444,0.0169348,,India,3/19/2020,Ground Transport,0.804451,0.833427,,India,3/19/2020,Residential,0.371013,0.342385
Russia,3/19/2020,Power,2.40614,2.43029,,Russia,3/19/2020,Industry,0.806654,0.821941,,Russia,3/19/2020,Domestic Aviation,0.0396971,0.0397225,,Russia,3/19/2020,International Aviation,0.0185236,0.0143843,,Russia,3/19/2020,Ground Transport,0.667795,0.648346,,Russia,3/19/2020,Residential,0.530396,0.698453
Brazil,3/20/2020,Power,0.167554,0.194211,,Brazil,3/20/2020,Industry,0.350796,0.294359,,Brazil,3/20/2020,Domestic Aviation,0.0242851,0.0126587,,Brazil,3/20/2020,International Aviation,0.0129954,0.00675923,,Brazil,3/20/2020,Ground Transport,0.430117,0.236253,,Brazil,3/20/2020,Residential,0.0984519,0.0984519
China,3/20/2020,Power,11.4166,13.8804,,China,3/20/2020,Industry,10.5836,12.2135,,China,3/20/2020,Domestic Aviation,0.0773892,0.202047,,China,3/20/2020,International Aviation,0.0230695,0.0352346,,China,3/20/2020,Ground Transport,2.16452,2.47732,,China,3/20/2020,Residential,1.76281,2.8941
India,3/20/2020,Power,3.35047,3.98194,,India,3/20/2020,Industry,1.72017,2.19384,,India,3/20/2020,Domestic Aviation,0.0177939,0.0163357,,India,3/20/2020,International Aviation,0.0172264,0.0190396,,India,3/20/2020,Ground Transport,0.804451,0.764076,,India,3/20/2020,Residential,0.366366,0.347649
Russia,3/20/2020,Power,2.39669,2.37215,,Russia,3/20/2020,Industry,0.803485,0.802276,,Russia,3/20/2020,Domestic Aviation,0.0420197,0.0391305,,Russia,3/20/2020,International Aviation,0.0177059,0.0136151,,Russia,3/20/2020,Ground Transport,0.667795,0.555725,,Russia,3/20/2020,Residential,0.573743,0.690451
Brazil,3/21/2020,Power,0.149315,0.224295,,Brazil,3/21/2020,Industry,0.312611,0.339956,,Brazil,3/21/2020,Domestic Aviation,0.0235591,0.0168437,,Brazil,3/21/2020,International Aviation,0.0122002,0.00662679,,Brazil,3/21/2020,Ground Transport,0.284034,0.437919,,Brazil,3/21/2020,Residential,0.0984519,0.0984519
China,3/21/2020,Power,11.4551,13.717,,China,3/21/2020,Industry,10.6193,12.0696,,China,3/21/2020,Domestic Aviation,0.0700171,0.201982,,China,3/21/2020,International Aviation,0.0228179,0.0280189,,China,3/21/2020,Ground Transport,1.73264,2.52494,,China,3/21/2020,Residential,1.87501,2.54377
India,3/21/2020,Power,3.30753,4.02726,,India,3/21/2020,Industry,1.69812,2.21881,,India,3/21/2020,Domestic Aviation,0.0166885,0.0169747,,India,3/21/2020,International Aviation,0.0149207,0.0153176,,India,3/21/2020,Ground Transport,0.681315,0.802577,,India,3/21/2020,Residential,0.378461,0.364109
Russia,3/21/2020,Power,2.36587,2.46147,,Russia,3/21/2020,Industry,0.793152,0.832487,,Russia,3/21/2020,Domestic Aviation,0.0392647,0.0389529,,Russia,3/21/2020,International Aviation,0.0192175,0.0114798,,Russia,3/21/2020,Ground Transport,0.543067,0.682628,,Russia,3/21/2020,Residential,0.620633,0.665517
Brazil,3/22/2020,Power,0.145859,0.231524,,Brazil,3/22/2020,Industry,0.305374,0.350913,,Brazil,3/22/2020,Domestic Aviation,0.0160397,0.0135697,,Brazil,3/22/2020,International Aviation,0.0111134,0.00688916,,Brazil,3/22/2020,Ground Transport,0.0940702,0.449684,,Brazil,3/22/2020,Residential,0.0984519,0.0984519
China,3/22/2020,Power,11.0755,13.813,,China,3/22/2020,Industry,10.2673,12.1541,,China,3/22/2020,Domestic Aviation,0.0781039,0.199632,,China,3/22/2020,International Aviation,0.0209931,0.0310378,,China,3/22/2020,Ground Transport,1.54009,2.52927,,China,3/22/2020,Residential,1.96265,2.20183
India,3/22/2020,Power,2.8721,4.02183,,India,3/22/2020,Industry,1.47457,2.21582,,India,3/22/2020,Domestic Aviation,0.0113397,0.0157002,,India,3/22/2020,International Aviation,0.00948669,0.0153509,,India,3/22/2020,Ground Transport,0.116274,0.829601,,India,3/22/2020,Residential,0.374047,0.365989
Russia,3/22/2020,Power,2.29267,2.43429,,Russia,3/22/2020,Industry,0.768614,0.823292,,Russia,3/22/2020,Domestic Aviation,0.0394194,0.0370748,,Russia,3/22/2020,International Aviation,0.0171973,0.0112107,,Russia,3/22/2020,Ground Transport,0.413455,0.685686,,Russia,3/22/2020,Residential,0.667959,0.655274
Brazil,3/23/2020,Power,0.165147,0.240988,,Brazil,3/23/2020,Industry,0.345756,0.365258,,Brazil,3/23/2020,Domestic Aviation,0.0127849,0.0148416,,Brazil,3/23/2020,International Aviation,0.00952702,0.00657568,,Brazil,3/23/2020,Ground Transport,0.331142,0.456065,,Brazil,3/23/2020,Residential,0.0984519,0.0984519
China,3/23/2020,Power,11.4524,13.9842,,China,3/23/2020,Industry,10.6167,12.3048,,China,3/23/2020,Domestic Aviation,0.0704912,0.200706,,China,3/23/2020,International Aviation,0.0213931,0.035301,,China,3/23/2020,Ground Transport,2.27184,2.52144,,China,3/23/2020,Residential,1.89909,1.9996
India,3/23/2020,Power,2.98388,4.0164,,India,3/23/2020,Industry,1.53196,2.21282,,India,3/23/2020,Domestic Aviation,0.0124435,0.0168527,,India,3/23/2020,International Aviation,0.00271432,0.0179243,,India,3/23/2020,Ground Transport,0.354869,0.831552,,India,3/23/2020,Residential,0.352683,0.365091
Russia,3/23/2020,Power,1.37568,2.42725,,Russia,3/23/2020,Industry,0.461192,0.820914,,Russia,3/23/2020,Domestic Aviation,0.0404373,0.037752,,Russia,3/23/2020,International Aviation,0.0142182,0.0114744,,Russia,3/23/2020,Ground Transport,0.651402,0.686705,,Russia,3/23/2020,Residential,0.69052,0.636398
Brazil,3/24/2020,Power,0.15098,0.240464,,Brazil,3/24/2020,Industry,0.316095,0.364464,,Brazil,3/24/2020,Domestic Aviation,0.00925821,0.0146697,,Brazil,3/24/2020,International Aviation,0.00746175,0.00656143,,Brazil,3/24/2020,Ground Transport,0.328722,0.458414,,Brazil,3/24/2020,Residential,0.0984519,0.0984519
China,3/24/2020,Power,11.3313,14.0024,,China,3/24/2020,Industry,10.5045,12.3207,,China,3/24/2020,Domestic Aviation,0.0656718,0.199496,,China,3/24/2020,International Aviation,0.0188502,0.0338333,,China,3/24/2020,Ground Transport,2.22229,2.5224,,China,3/24/2020,Residential,1.76755,1.81322
India,3/24/2020,Power,2.55235,4.07629,,India,3/24/2020,Industry,1.3104,2.24582,,India,3/24/2020,Domestic Aviation,0.010666,0.0164164,,India,3/24/2020,International Aviation,0.00283452,0.0192842,,India,3/24/2020,Ground Transport,0.294187,0.829582,,India,3/24/2020,Residential,0.373412,0.361219
Russia,3/24/2020,Power,1.87031,2.35502,,Russia,3/24/2020,Industry,0.627019,0.796482,,Russia,3/24/2020,Domestic Aviation,0.0366973,0.0380079,,Russia,3/24/2020,International Aviation,0.0135588,0.0128344,,Russia,3/24/2020,Ground Transport,0.660589,0.687345,,Russia,3/24/2020,Residential,0.674849,0.603791
