country,date,sector,value20,value21,,country,date,sector,value20a,value21a,,country,date,sector,value20b,value21b,,country,date,sector,value20c,value21c,,country,date,sector,value20d,value21d,,country,date,sector,value20e,value21e
Russia,1/5/2020,Power,2.6085,2.48836,,Russia,1/5/2020,Industry,0.635538,0.611507,,Russia,1/5/2020,Domestic Aviation,0.0425093,0.0397757,,Russia,1/5/2020,International Aviation,0.035552,0.00932448,,Russia,1/5/2020,Ground Transport,0.564171,0.594516,,Russia,1/5/2020,Residential,0.70836,0.888526
Brazil,1/6/2020,Power,0.309577,0.349773,,Brazil,1/6/2020,Industry,0.322689,0.363165,,Brazil,1/6/2020,Domestic Aviation,0.0348123,0.0294129,,Brazil,1/6/2020,International Aviation,0.0209789,0.00790684,,Brazil,1/6/2020,Ground Transport,0.469079,0.438064,,Brazil,1/6/2020,Residential,0.0984519,0.0984519
China,1/6/2020,Power,15.6124,16.8316,,China,1/6/2020,Industry,9.82813,11.3748,,China,1/6/2020,Domestic Aviation,0.169253,0.161628,,China,1/6/2020,International Aviation,0.0820213,0.030072,,China,1/6/2020,Ground Transport,2.58108,2.49966,,China,1/6/2020,Residential,3.18831,4.55385
India,1/6/2020,Power,3.31411,3.44178,,India,1/6/2020,Industry,2.08976,2.00063,,India,1/6/2020,Domestic Aviation,0.0214552,0.0163943,,India,1/6/2020,International Aviation,0.034192,0.0158069,,India,1/6/2020,Ground Transport,0.854194,0.836434,,India,1/6/2020,Residential,1.6355,0.644392
Russia,1/6/2020,Power,2.62269,2.47489,,Russia,1/6/2020,Industry,0.638995,0.608198,,Russia,1/6/2020,Domestic Aviation,0.0425984,0.0414907,,Russia,1/6/2020,International Aviation,0.0304828,0.00883061,,Russia,1/6/2020,Ground Transport,0.590308,0.591036,,Russia,1/6/2020,Residential,0.739018,0.927126
Brazil,1/7/2020,Power,0.317706,0.345316,,Brazil,1/7/2020,Industry,0.331161,0.358538,,Brazil,1/7/2020,Domestic Aviation,0.0340563,0.0293565,,Brazil,1/7/2020,International Aviation,0.0189361,0.00702976,,Brazil,1/7/2020,Ground Transport,0.480847,0.442639,,Brazil,1/7/2020,Residential,0.0984519,0.0984519
China,1/7/2020,Power,15.6474,16.7586,,China,1/7/2020,Industry,9.85018,11.3256,,China,1/7/2020,Domestic Aviation,0.175264,0.157986,,China,1/7/2020,International Aviation,0.0866091,0.0319084,,China,1/7/2020,Ground Transport,2.59584,2.45723,,China,1/7/2020,Residential,3.4986,5.05419
India,1/7/2020,Power,3.40035,3.41291,,India,1/7/2020,Industry,2.14414,1.98385,,India,1/7/2020,Domestic Aviation,0.0210049,0.015554,,India,1/7/2020,International Aviation,0.0349201,0.0166196,,India,1/7/2020,Ground Transport,0.854858,0.825769,,India,1/7/2020,Residential,1.42109,0.838383
Russia,1/7/2020,Power,2.64758,2.4451,,Russia,1/7/2020,Industry,0.64506,0.600876,,Russia,1/7/2020,Domestic Aviation,0.0421522,0.0399969,,Russia,1/7/2020,International Aviation,0.0320908,0.00965212,,Russia,1/7/2020,Ground Transport,0.546429,0.531727,,Russia,1/7/2020,Residential,0.77195,0.908283
Brazil,1/8/2020,Power,0.310592,0.340742,,Brazil,1/8/2020,Industry,0.323746,0.353789,,Brazil,1/8/2020,Domestic Aviation,0.0272945,0.0299925,,Brazil,1/8/2020,International Aviation,0.019303,0.009222,,Brazil,1/8/2020,Ground Transport,0.484112,0.461045,,Brazil,1/8/2020,Residential,0.0984519,0.0984519
China,1/8/2020,Power,15.4023,16.6146,,China,1/8/2020,Industry,9.69587,11.2282,,China,1/8/2020,Domestic Aviation,0.164148,0.16875,,China,1/8/2020,International Aviation,0.0843144,0.0312827,,China,1/8/2020,Ground Transport,2.60321,2.39735,,China,1/8/2020,Residential,3.65757,4.83991
India,1/8/2020,Power,3.38404,3.84178,,India,1/8/2020,Industry,2.13386,2.23314,,India,1/8/2020,Domestic Aviation,0.0191901,0.0165445,,India,1/8/2020,International Aviation,0.0361762,0.0152997,,India,1/8/2020,Ground Transport,0.856364,0.83036,,India,1/8/2020,Residential,1.55735,1.01308
Russia,1/8/2020,Power,2.64853,2.48547,,Russia,1/8/2020,Industry,0.645292,0.610798,,Russia,1/8/2020,Domestic Aviation,0.0418221,0.0449909,,Russia,1/8/2020,International Aviation,0.0316773,0.010563,,Russia,1/8/2020,Ground Transport,0.564989,0.591031,,Russia,1/8/2020,Residential,0.772968,0.879552
Brazil,1/9/2020,Power,0.318397,0.342736,,Brazil,1/9/2020,Industry,0.331882,0.355859,,Brazil,1/9/2020,Domestic Aviation,0.0330129,0.0292404,,Brazil,1/9/2020,International Aviation,0.0188783,0.00731656,,Brazil,1/9/2020,Ground Transport,0.485902,0.361622,,Brazil,1/9/2020,Residential,0.0984519,0.0984519
China,1/9/2020,Power,15.2242,16.6804,,China,1/9/2020,Industry,9.58381,11.2726,,China,1/9/2020,Domestic Aviation,0.166207,0.160371,,China,1/9/2020,International Aviation,0.0876839,0.0292875,,China,1/9/2020,Ground Transport,2.60404,2.3746,,China,1/9/2020,Residential,3.666,4.46778
India,1/9/2020,Power,3.3197,3.36942,,India,1/9/2020,Industry,2.09329,1.95857,,India,1/9/2020,Domestic Aviation,0.0200853,0.0158131,,India,1/9/2020,International Aviation,0.0354883,0.0164242,,India,1/9/2020,Ground Transport,0.861154,0.819027,,India,1/9/2020,Residential,2.01431,0.849994
Russia,1/9/2020,Power,2.70516,2.52443,,Russia,1/9/2020,Industry,0.65909,0.620371,,Russia,1/9/2020,Domestic Aviation,0.0410638,0.0468289,,Russia,1/9/2020,International Aviation,0.0345189,0.0120262,,Russia,1/9/2020,Ground Transport,0.659892,0.587898,,Russia,1/9/2020,Residential,0.765887,0.875773
Brazil,1/10/2020,Power,0.329852,0.327053,,Brazil,1/10/2020,Industry,0.343822,0.339575,,Brazil,1/10/2020,Domestic Aviation,0.0353972,0.0246497,,Brazil,1/10/2020,International Aviation,0.0204989,0.00837672,,Brazil,1/10/2020,Ground Transport,0.489386,0.196167,,Brazil,1/10/2020,Residential,0.0984519,0.0984519
China,1/10/2020,Power,15.5569,16.8705,,China,1/10/2020,Industry,9.79323,11.4011,,China,1/10/2020,Domestic Aviation,0.184145,0.170864,,China,1/10/2020,International Aviation,0.0883396,0.0316207,,China,1/10/2020,Ground Transport,2.64973,2.40605,,China,1/10/2020,Residential,3.65677,4.26499
India,1/10/2020,Power,3.3018,3.32788,,India,1/10/2020,Industry,2.082,1.93442,,India,1/10/2020,Domestic Aviation,0.0215445,0.0157903,,India,1/10/2020,International Aviation,0.0374553,0.01762,,India,1/10/2020,Ground Transport,0.861093,0.751393,,India,1/10/2020,Residential,2.38445,1.08631
Russia,1/10/2020,Power,2.7508,2.55588,,Russia,1/10/2020,Industry,0.67021,0.6281,,Russia,1/10/2020,Domestic Aviation,0.0447173,0.0465287,,Russia,1/10/2020,International Aviation,0.0347362,0.0128732,,Russia,1/10/2020,Ground Transport,0.662498,0.585111,,Russia,1/10/2020,Residential,0.773561,0.915782
Brazil,1/11/2020,Power,0.26963,0.334014,,Brazil,1/11/2020,Industry,0.28105,0.346803,,Brazil,1/11/2020,Domestic Aviation,0.033202,0.028794,,Brazil,1/11/2020,International Aviation,0.020617,0.00717209,,Brazil,1/11/2020,Ground Transport,0.436539,0.448239,,Brazil,1/11/2020,Residential,0.0984519,0.0984519
China,1/11/2020,Power,15.6415,16.5806,,China,1/11/2020,Industry,9.8465,11.2052,,China,1/11/2020,Domestic Aviation,0.187943,0.160753,,China,1/11/2020,International Aviation,0.0927558,0.0262272,,China,1/11/2020,Ground Transport,2.57379,2.385,,China,1/11/2020,Residential,3.85131,4.28391
India,1/11/2020,Power,3.35184,3.52265,,India,1/11/2020,Industry,2.11355,2.04764,,India,1/11/2020,Domestic Aviation,0.021226,0.0164256,,India,1/11/2020,International Aviation,0.0367868,0.0132819,,India,1/11/2020,Ground Transport,0.848278,0.830496,,India,1/11/2020,Residential,2.24731,1.4943
Russia,1/11/2020,Power,2.70854,2.72362,,Russia,1/11/2020,Industry,0.659912,0.669321,,Russia,1/11/2020,Domestic Aviation,0.0410847,0.041368,,Russia,1/11/2020,International Aviation,0.0383489,0.0105961,,Russia,1/11/2020,Ground Transport,0.601685,0.687592,,Russia,1/11/2020,Residential,0.789575,1.00371
Brazil,1/12/2020,Power,0.266044,0.345634,,Brazil,1/12/2020,Industry,0.277311,0.358868,,Brazil,1/12/2020,Domestic Aviation,0.0310422,0.0287985,,Brazil,1/12/2020,International Aviation,0.0196935,0.00711674,,Brazil,1/12/2020,Ground Transport,0.336838,0.459462,,Brazil,1/12/2020,Residential,0.0984519,0.0984519
China,1/12/2020,Power,15.3089,16.6013,,China,1/12/2020,Industry,9.63708,11.2192,,China,1/12/2020,Domestic Aviation,0.186318,0.158944,,China,1/12/2020,International Aviation,0.0879837,0.0290906,,China,1/12/2020,Ground Transport,2.47848,2.42592,,China,1/12/2020,Residential,3.88063,3.79226
India,1/12/2020,Power,3.33068,3.55125,,India,1/12/2020,Industry,2.10021,2.06426,,India,1/12/2020,Domestic Aviation,0.0207236,0.0150434,,India,1/12/2020,International Aviation,0.0366399,0.0142309,,India,1/12/2020,Ground Transport,0.802361,0.830297,,India,1/12/2020,Residential,1.85443,1.92822
Russia,1/12/2020,Power,2.65253,2.77819,,Russia,1/12/2020,Industry,0.646267,0.682731,,Russia,1/12/2020,Domestic Aviation,0.0426568,0.0354454,,Russia,1/12/2020,International Aviation,0.0381586,0.00977712,,Russia,1/12/2020,Ground Transport,0.536096,0.691106,,Russia,1/12/2020,Residential,0.784106,1.07508
Brazil,1/13/2020,Power,0.27258,0.338404,,Brazil,1/13/2020,Industry,0.284125,0.351361,,Brazil,1/13/2020,Domestic Aviation,0.0340923,0.0274008,,Brazil,1/13/2020,International Aviation,0.0197006,0.007679,,Brazil,1/13/2020,Ground Transport,0.479629,0.45826,,Brazil,1/13/2020,Residential,0.0984519,0.0984519
China,1/13/2020,Power,15.2563,16.1494,,China,1/13/2020,Industry,9.60402,10.9138,,China,1/13/2020,Domestic Aviation,0.187901,0.16338,,China,1/13/2020,International Aviation,0.0846325,0.0327079,,China,1/13/2020,Ground Transport,2.60734,2.45996,,China,1/13/2020,Residential,3.85766,3.58912
India,1/13/2020,Power,3.41028,3.56149,,India,1/13/2020,Industry,2.1504,2.07022,,India,1/13/2020,Domestic Aviation,0.020886,0.0161032,,India,1/13/2020,International Aviation,0.033705,0.0167133,,India,1/13/2020,Ground Transport,0.856681,0.839941,,India,1/13/2020,Residential,1.6801,2.08317
Russia,1/13/2020,Power,2.71566,2.81137,,Russia,1/13/2020,Industry,0.661648,0.690884,,Russia,1/13/2020,Domestic Aviation,0.0426377,0.0355614,,Russia,1/13/2020,International Aviation,0.0323523,0.0109556,,Russia,1/13/2020,Ground Transport,0.678598,0.687966,,Russia,1/13/2020,Residential,0.736746,1.08469
Brazil,1/14/2020,Power,0.273898,0.334293,,Brazil,1/14/2020,Industry,0.285498,0.347093,,Brazil,1/14/2020,Domestic Aviation,0.0350903,0.0275021,,Brazil,1/14/2020,International Aviation,0.0186373,0.00649243,,Brazil,1/14/2020,Ground Transport,0.484433,0.460801,,Brazil,1/14/2020,Residential,0.0984519,0.0984519
China,1/14/2020,Power,14.4859,16.0335,,China,1/14/2020,Industry,9.11904,10.8355,,China,1/14/2020,Domestic Aviation,0.188839,0.160392,,China,1/14/2020,International Aviation,0.0882454,0.033587,,China,1/14/2020,Ground Transport,2.60751,2.46507,,China,1/14/2020,Residential,3.94119,3.37791
India,1/14/2020,Power,3.3101,3.43687,,India,1/14/2020,Industry,2.08723,1.99778,,India,1/14/2020,Domestic Aviation,0.0208642,0.0156587,,India,1/14/2020,International Aviation,0.0344414,0.0167858,,India,1/14/2020,Ground Transport,0.853122,0.807263,,India,1/14/2020,Residential,1.66294,1.96611
Russia,1/14/2020,Power,2.68132,2.83563,,Russia,1/14/2020,Industry,0.653281,0.696846,,Russia,1/14/2020,Domestic Aviation,0.0401905,0.0338601,,Russia,1/14/2020,International Aviation,0.0303426,0.010002,,Russia,1/14/2020,Ground Transport,0.679126,0.69322,,Russia,1/14/2020,Residential,0.721023,1.04945
Brazil,1/15/2020,Power,0.26591,0.336921,,Brazil,1/15/2020,Industry,0.277172,0.349821,,Brazil,1/15/2020,Domestic Aviation,0.0346981,0.028236,,Brazil,1/15/2020,International Aviation,0.0197244,0.00827011,,Brazil,1/15/2020,Ground Transport,0.488578,0.473549,,Brazil,1/15/2020,Residential,0.0984519,0.0984519
China,1/15/2020,Power,14.3429,16.5413,,China,1/15/2020,Industry,9.02902,11.1787,,China,1/15/2020,Domestic Aviation,0.190193,0.169662,,China,1/15/2020,International Aviation,0.0889244,0.0319279,,China,1/15/2020,Ground Transport,2.63227,2.4735,,China,1/15/2020,Residential,3.87761,3.58098
India,1/15/2020,Power,3.20992,3.43518,,India,1/15/2020,Industry,2.02406,1.9968,,India,1/15/2020,Domestic Aviation,0.0207805,0.016378,,India,1/15/2020,International Aviation,0.0363008,0.0167332,,India,1/15/2020,Ground Transport,0.855581,0.844454,,India,1/15/2020,Residential,1.42726,1.83993
Russia,1/15/2020,Power,2.69052,2.82591,,Russia,1/15/2020,Industry,0.655522,0.694458,,Russia,1/15/2020,Domestic Aviation,0.0409745,0.0366442,,Russia,1/15/2020,International Aviation,0.0310872,0.0109516,,Russia,1/15/2020,Ground Transport,0.680794,0.700682,,Russia,1/15/2020,Residential,0.7084,1.01033
Brazil,1/16/2020,Power,0.268311,0.342238,,Brazil,1/16/2020,Industry,0.279675,0.355342,,Brazil,1/16/2020,Domestic Aviation,0.0345546,0.0279392,,Brazil,1/16/2020,International Aviation,0.0182612,0.00731834,,Brazil,1/16/2020,Ground Transport,0.491765,0.379264,,Brazil,1/16/2020,Residential,0.0984519,0.0984519
China,1/16/2020,Power,14.2175,16.3456,,China,1/16/2020,Industry,8.95003,11.0464,,China,1/16/2020,Domestic Aviation,0.190429,0.161852,,China,1/16/2020,International Aviation,0.0921489,0.0308934,,China,1/16/2020,Ground Transport,2.61534,2.46364,,China,1/16/2020,Residential,3.87326,3.95881
