country,date,sector,value20,,country,date,sector,value21,,country,date,sector,value19
WORLD,1/1/2020,Power,37.454,,WORLD,1/1/2021,Power,37.8519,,WORLD,1/1/2019,Power,36.7941
WORLD,1/1/2020,Residential,18.0008,,WORLD,1/1/2021,Residential,19.5192,,WORLD,1/1/2019,Residential,18.3833
Brazil,1/2/2020,Domestic Aviation,0.0330685,,Brazil,1/2/2021,Domestic Aviation,0.0285979,,Brazil,2/1/2019,Domestic Aviation,0.0329052
Brazil,1/2/2020,Ground Transport,0.431952,,Brazil,1/2/2021,Ground Transport,0.192712,,Brazil,2/1/2019,Ground Transport,0.341199
Brazil,1/2/2020,Industry,0.327129,,Brazil,1/2/2021,Industry,0.317039,,Brazil,2/1/2019,Industry,0.2837
Brazil,1/2/2020,International Aviation,0.0189437,,Brazil,1/2/2021,International Aviation,0.00534111,,Brazil,2/1/2019,International Aviation,0.0197613
Brazil,1/2/2020,Power,0.313837,,Brazil,1/2/2021,Power,0.305347,,Brazil,2/1/2019,Power,0.127256
Brazil,1/2/2020,Residential,0.0984519,,Brazil,1/2/2021,Residential,0.0984519,,Brazil,2/1/2019,Residential,0.0984519
China,1/2/2020,Domestic Aviation,0.175613,,China,1/2/2021,Domestic Aviation,0.155385,,China,2/1/2019,Domestic Aviation,0.166188
China,1/2/2020,Ground Transport,2.54627,,China,1/2/2021,Ground Transport,2.4697,,China,2/1/2019,Ground Transport,2.53991
China,1/2/2020,Industry,9.98061,,China,1/2/2021,Industry,10.6943,,China,2/1/2019,Industry,10.2494
China,1/2/2020,International Aviation,0.0843115,,China,1/2/2021,International Aviation,0.026031,,China,2/1/2019,International Aviation,0.0777394
China,1/2/2020,Power,15.8546,,China,1/2/2021,Power,15.8246,,China,2/1/2019,Power,14.5842
China,1/2/2020,Residential,3.46982,,China,1/2/2021,Residential,4.07303,,China,2/1/2019,Residential,4.18077
EU27 & UK,1/2/2020,Domestic Aviation,0.0413889,,EU27 & UK,1/2/2021,Domestic Aviation,0.020182,,EU27 & UK,2/1/2019,Domestic Aviation,0.0417104
EU27 & UK,1/2/2020,Ground Transport,2.38764,,EU27 & UK,1/2/2021,Ground Transport,1.9875,,EU27 & UK,2/1/2019,Ground Transport,1.83885
EU27 & UK,1/2/2020,Industry,1.36811,,EU27 & UK,1/2/2021,Industry,1.40557,,EU27 & UK,2/1/2019,Industry,1.4183
EU27 & UK,1/2/2020,International Aviation,0.454253,,EU27 & UK,1/2/2021,International Aviation,0.192577,,EU27 & UK,2/1/2019,International Aviation,0.441635
EU27 & UK,1/2/2020,Power,2.28418,,EU27 & UK,1/2/2021,Power,2.439,,EU27 & UK,2/1/2019,Power,2.83442
EU27 & UK,1/2/2020,Residential,2.97235,,EU27 & UK,1/2/2021,Residential,3.08661,,EU27 & UK,2/1/2019,Residential,2.95077
India,1/2/2020,Domestic Aviation,0.0212418,,India,1/2/2021,Domestic Aviation,0.0158067,,India,2/1/2019,Domestic Aviation,0.0206471
India,1/2/2020,Ground Transport,0.841886,,India,1/2/2021,Ground Transport,0.764445,,India,2/1/2019,Ground Transport,0.834113
India,1/2/2020,Industry,2.10067,,India,1/2/2021,Industry,2.00588,,India,2/1/2019,Industry,2.09038
India,1/2/2020,International Aviation,0.0358396,,India,1/2/2021,International Aviation,0.0132206,,India,2/1/2019,International Aviation,0.034902
India,1/2/2020,Power,3.33141,,India,1/2/2021,Power,3.45082,,India,2/1/2019,Power,3.37703
India,1/2/2020,Residential,1.27129,,India,1/2/2021,Residential,1.41439,,India,2/1/2019,Residential,1.52281
ROW,1/2/2020,Domestic Aviation,0.201188,,ROW,1/2/2021,Domestic Aviation,0.121981,,ROW,2/1/2019,Domestic Aviation,0.187302
ROW,1/2/2020,Ground Transport,5.98407,,ROW,1/2/2021,Ground Transport,4.32304,,ROW,2/1/2019,Ground Transport,4.86489
ROW,1/2/2020,Industry,8.6078,,ROW,1/2/2021,Industry,8.37809,,ROW,2/1/2019,Industry,8.97705
ROW,1/2/2020,International Aviation,0.798405,,ROW,1/2/2021,International Aviation,0.333468,,ROW,2/1/2019,International Aviation,0.761107
ROW,1/2/2020,Power,9.199,,ROW,1/2/2021,Power,8.08816,,ROW,2/1/2019,Power,9.35195
ROW,1/2/2020,Residential,4.98458,,ROW,1/2/2021,Residential,5.4193,,ROW,2/1/2019,Residential,5.38216
Russia,1/2/2020,Domestic Aviation,0.0398137,,Russia,1/2/2021,Domestic Aviation,0.0412913,,Russia,2/1/2019,Domestic Aviation,0.034831
Russia,1/2/2020,Ground Transport,0.558537,,Russia,1/2/2021,Ground Transport,0.50501,,Russia,2/1/2019,Ground Transport,0.488672
Russia,1/2/2020,Industry,0.648248,,Russia,1/2/2021,Industry,0.588679,,Russia,2/1/2019,Industry,0.60827
Russia,1/2/2020,International Aviation,0.0398428,,Russia,1/2/2021,International Aviation,0.0127366,,Russia,2/1/2019,International Aviation,0.0320775
Russia,1/2/2020,Power,2.66066,,Russia,1/2/2021,Power,2.39547,,Russia,2/1/2019,Power,2.80498
Russia,1/2/2020,Residential,0.734011,,Russia,1/2/2021,Residential,0.888886,,Russia,2/1/2019,Residential,0.851385
United States,1/2/2020,Domestic Aviation,0.484853,,United States,1/2/2021,Domestic Aviation,0.324682,,United States,2/1/2019,Domestic Aviation,0.465117
United States,1/2/2020,Ground Transport,4.45879,,United States,1/2/2021,Ground Transport,4.47877,,United States,2/1/2019,Ground Transport,4.30651
United States,1/2/2020,Industry,2.73102,,United States,1/2/2021,Industry,2.75467,,United States,2/1/2019,Industry,2.99608
United States,1/2/2020,International Aviation,0.223041,,United States,1/2/2021,International Aviation,0.121653,,United States,2/1/2019,International Aviation,0.206229
United States,1/2/2020,Power,3.67995,,United States,1/2/2021,Power,3.74257,,United States,2/1/2019,Power,4.62753
United States,1/2/2020,Residential,2.59755,,United States,1/2/2021,Residential,2.69597,,United States,2/1/2019,Residential,3.17377
WORLD,1/2/2020,Domestic Aviation,1.0244,,WORLD,1/2/2021,Domestic Aviation,0.731301,,WORLD,2/1/2019,Domestic Aviation,0.974624
WORLD,1/2/2020,Ground Transport,17.6774,,WORLD,1/2/2021,Ground Transport,15.0845,,WORLD,2/1/2019,Ground Transport,15.6887
WORLD,1/2/2020,Industry,26.2554,,WORLD,1/2/2021,Industry,26.6754,,WORLD,2/1/2019,Industry,27.1266
WORLD,1/2/2020,International Aviation,1.71025,,WORLD,1/2/2021,International Aviation,0.720888,,WORLD,2/1/2019,International Aviation,1.62444
WORLD,1/2/2020,Power,38.5148,,WORLD,1/2/2021,Power,37.747,,WORLD,2/1/2019,Power,38.9661
WORLD,1/2/2020,Residential,16.6924,,WORLD,1/2/2021,Residential,18.3524,,WORLD,2/1/2019,Residential,18.7947
Brazil,1/3/2020,Domestic Aviation,0.0347073,,Brazil,1/3/2021,Domestic Aviation,0.026128,,Brazil,3/1/2019,Domestic Aviation,0.0333828
Brazil,1/3/2020,Ground Transport,0.446859,,Brazil,1/3/2021,Ground Transport,0.122148,,Brazil,3/1/2019,Ground Transport,0.418676
Brazil,1/3/2020,Industry,0.336545,,Brazil,1/3/2021,Industry,0.293002,,Brazil,3/1/2019,Industry,0.272501
Brazil,1/3/2020,International Aviation,0.0195571,,Brazil,1/3/2021,International Aviation,0.00860448,,Brazil,3/1/2019,International Aviation,0.0209149
Brazil,1/3/2020,Power,0.322871,,Brazil,1/3/2021,Power,0.282197,,Brazil,3/1/2019,Power,0.122232
Brazil,1/3/2020,Residential,0.0984519,,Brazil,1/3/2021,Residential,0.0984519,,Brazil,3/1/2019,Residential,0.0984519
China,1/3/2020,Domestic Aviation,0.175181,,China,1/3/2021,Domestic Aviation,0.181921,,China,3/1/2019,Domestic Aviation,0.163078
China,1/3/2020,Ground Transport,2.61241,,China,1/3/2021,Ground Transport,2.47362,,China,3/1/2019,Ground Transport,2.52974
China,1/3/2020,Industry,9.64076,,China,1/3/2021,Industry,11.0232,,China,3/1/2019,Industry,9.93643
China,1/3/2020,International Aviation,0.0846111,,China,1/3/2021,International Aviation,0.0303584,,China,3/1/2019,International Aviation,0.0785732
China,1/3/2020,Power,15.3147,,China,1/3/2021,Power,16.3112,,China,3/1/2019,Power,14.139
China,1/3/2020,Residential,3.38281,,China,1/3/2021,Residential,3.96899,,China,3/1/2019,Residential,3.87168
EU27 & UK,1/3/2020,Domestic Aviation,0.0430241,,EU27 & UK,1/3/2021,Domestic Aviation,0.026473,,EU27 & UK,3/1/2019,Domestic Aviation,0.0423514
EU27 & UK,1/3/2020,Ground Transport,2.47029,,EU27 & UK,1/3/2021,Ground Transport,1.68327,,EU27 & UK,3/1/2019,Ground Transport,2.34504
EU27 & UK,1/3/2020,Industry,1.32152,,EU27 & UK,1/3/2021,Industry,1.22132,,EU27 & UK,3/1/2019,Industry,1.7879
EU27 & UK,1/3/2020,International Aviation,0.473447,,EU27 & UK,1/3/2021,International Aviation,0.197463,,EU27 & UK,3/1/2019,International Aviation,0.449766
EU27 & UK,1/3/2020,Power,2.20638,,EU27 & UK,1/3/2021,Power,2.11929,,EU27 & UK,3/1/2019,Power,3.57305
EU27 & UK,1/3/2020,Residential,2.64818,,EU27 & UK,1/3/2021,Residential,3.04491,,EU27 & UK,3/1/2019,Residential,3.26592
India,1/3/2020,Domestic Aviation,0.0214139,,India,1/3/2021,Domestic Aviation,0.0154454,,India,3/1/2019,Domestic Aviation,0.0199101
