country,date,sector,value,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,
EU27 & UK,3/23/2020,Power,1.77443,,,EU27 & UK,3/23/2020,Industry,1.36104,,,,EU27 & UK,3/23/2020,Domestic Aviation,0.00891317,,,,EU27 & UK,3/23/2020,International Aviation,0.124777,,,,EU27 & UK,3/23/2020,Ground Transport,1.80521,,,,EU27 & UK,3/23/2020,Residential,2.79662,,
India,3/23/2020,Power,2.98388,,,India,3/23/2020,Industry,1.53196,,,,India,3/23/2020,Domestic Aviation,0.0124435,,,,India,3/23/2020,International Aviation,0.00271432,,,,India,3/23/2020,Ground Transport,0.354869,,,,India,3/23/2020,Residential,0.352683,,
ROW,3/23/2020,Power,9.93625,,,ROW,3/23/2020,Industry,9.56398,,,,ROW,3/23/2020,Domestic Aviation,0.110488,,,,ROW,3/23/2020,International Aviation,0.261803,,,,ROW,3/23/2020,Ground Transport,3.82898,,,,ROW,3/23/2020,Residential,3.35605,,
Russia,3/23/2020,Power,1.37568,,,Russia,3/23/2020,Industry,0.461192,,,,Russia,3/23/2020,Domestic Aviation,0.0404373,,,,Russia,3/23/2020,International Aviation,0.0142182,,,,Russia,3/23/2020,Ground Transport,0.651402,,,,Russia,3/23/2020,Residential,0.69052,,
United States,3/23/2020,Power,3.67835,,,United States,3/23/2020,Industry,2.88338,,,,United States,3/23/2020,Domestic Aviation,0.327513,,,,United States,3/23/2020,International Aviation,0.109377,,,,United States,3/23/2020,Ground Transport,3.32277,,,,United States,3/23/2020,Residential,2.18476,,
WORLD,3/23/2020,Power,32.6342,,,WORLD,3/23/2020,Industry,27.458,,,,WORLD,3/23/2020,Domestic Aviation,0.60572,,,,WORLD,3/23/2020,International Aviation,0.566068,,,,WORLD,3/23/2020,Ground Transport,13.0397,,,,WORLD,3/23/2020,Residential,11.8324,,
Brazil,3/24/2020,Power,0.15098,,,Brazil,3/24/2020,Industry,0.316095,,,,Brazil,3/24/2020,Domestic Aviation,0.00925821,,,,Brazil,3/24/2020,International Aviation,0.00746175,,,,Brazil,3/24/2020,Ground Transport,0.328722,,,,Brazil,3/24/2020,Residential,0.0984519,,
China,3/24/2020,Power,11.3313,,,China,3/24/2020,Industry,10.5045,,,,China,3/24/2020,Domestic Aviation,0.0656718,,,,China,3/24/2020,International Aviation,0.0188502,,,,China,3/24/2020,Ground Transport,2.22229,,,,China,3/24/2020,Residential,1.76755,,
EU27 & UK,3/24/2020,Power,1.86896,,,EU27 & UK,3/24/2020,Industry,1.43355,,,,EU27 & UK,3/24/2020,Domestic Aviation,0.00805502,,,,EU27 & UK,3/24/2020,International Aviation,0.109187,,,,EU27 & UK,3/24/2020,Ground Transport,1.80541,,,,EU27 & UK,3/24/2020,Residential,2.73548,,
India,3/24/2020,Power,2.55235,,,India,3/24/2020,Industry,1.3104,,,,India,3/24/2020,Domestic Aviation,0.010666,,,,India,3/24/2020,International Aviation,0.00283452,,,,India,3/24/2020,Ground Transport,0.294187,,,,India,3/24/2020,Residential,0.373412,,
ROW,3/24/2020,Power,10.3427,,,ROW,3/24/2020,Industry,9.75428,,,,ROW,3/24/2020,Domestic Aviation,0.0981794,,,,ROW,3/24/2020,International Aviation,0.218899,,,,ROW,3/24/2020,Ground Transport,3.88141,,,,ROW,3/24/2020,Residential,3.26487,,
Russia,3/24/2020,Power,1.87031,,,Russia,3/24/2020,Industry,0.627019,,,,Russia,3/24/2020,Domestic Aviation,0.0366973,,,,Russia,3/24/2020,International Aviation,0.0135588,,,,Russia,3/24/2020,Ground Transport,0.660589,,,,Russia,3/24/2020,Residential,0.674849,,
United States,3/24/2020,Power,3.449,,,United States,3/24/2020,Industry,2.82383,,,,United States,3/24/2020,Domestic Aviation,0.350571,,,,United States,3/24/2020,International Aviation,0.0948859,,,,United States,3/24/2020,Ground Transport,3.35821,,,,United States,3/24/2020,Residential,1.98306,,
WORLD,3/24/2020,Power,32.9512,,,WORLD,3/24/2020,Industry,27.5279,,,,WORLD,3/24/2020,Domestic Aviation,0.600789,,,,WORLD,3/24/2020,International Aviation,0.487661,,,,WORLD,3/24/2020,Ground Transport,13.0217,,,,WORLD,3/24/2020,Residential,11.4155,,
Brazil,3/25/2020,Power,0.149639,,,Brazil,3/25/2020,Industry,0.313288,,,,Brazil,3/25/2020,Domestic Aviation,0.00703571,,,,Brazil,3/25/2020,International Aviation,0.00634693,,,,Brazil,3/25/2020,Ground Transport,0.364394,,,,Brazil,3/25/2020,Residential,0.0984519,,
China,3/25/2020,Power,11.2983,,,China,3/25/2020,Industry,10.4739,,,,China,3/25/2020,Domestic Aviation,0.074469,,,,China,3/25/2020,International Aviation,0.0233626,,,,China,3/25/2020,Ground Transport,2.22648,,,,China,3/25/2020,Residential,1.72471,,
EU27 & UK,3/25/2020,Power,2.04072,,,EU27 & UK,3/25/2020,Industry,1.5653,,,,EU27 & UK,3/25/2020,Domestic Aviation,0.00710089,,,,EU27 & UK,3/25/2020,International Aviation,0.0969078,,,,EU27 & UK,3/25/2020,Ground Transport,1.78414,,,,EU27 & UK,3/25/2020,Residential,2.70081,,
India,3/25/2020,Power,2.55235,,,India,3/25/2020,Industry,1.3104,,,,India,3/25/2020,Domestic Aviation,0.000139877,,,,India,3/25/2020,International Aviation,0.00260397,,,,India,3/25/2020,Ground Transport,0.337475,,,,India,3/25/2020,Residential,0.361457,,
ROW,3/25/2020,Power,10.1724,,,ROW,3/25/2020,Industry,9.75285,,,,ROW,3/25/2020,Domestic Aviation,0.086497,,,,ROW,3/25/2020,International Aviation,0.195918,,,,ROW,3/25/2020,Ground Transport,3.75224,,,,ROW,3/25/2020,Residential,3.24267,,
Russia,3/25/2020,Power,2.25016,,,Russia,3/25/2020,Industry,0.754362,,,,Russia,3/25/2020,Domestic Aviation,0.0375722,,,,Russia,3/25/2020,International Aviation,0.0112521,,,,Russia,3/25/2020,Ground Transport,0.654153,,,,Russia,3/25/2020,Residential,0.588615,,
United States,3/25/2020,Power,3.32148,,,United States,3/25/2020,Industry,2.75994,,,,United States,3/25/2020,Domestic Aviation,0.33581,,,,United States,3/25/2020,International Aviation,0.0889007,,,,United States,3/25/2020,Ground Transport,3.36931,,,,United States,3/25/2020,Residential,1.91111,,
WORLD,3/25/2020,Power,33.1358,,,WORLD,3/25/2020,Industry,27.6692,,,,WORLD,3/25/2020,Domestic Aviation,0.570852,,,,WORLD,3/25/2020,International Aviation,0.445803,,,,WORLD,3/25/2020,Ground Transport,12.9605,,,,WORLD,3/25/2020,Residential,11.0497,,
Brazil,3/26/2020,Power,0.159124,,,Brazil,3/26/2020,Industry,0.333147,,,,Brazil,3/26/2020,Domestic Aviation,0.00679595,,,,Brazil,3/26/2020,International Aviation,0.00596952,,,,Brazil,3/26/2020,Ground Transport,0.368642,,,,Brazil,3/26/2020,Residential,0.0984519,,
China,3/26/2020,Power,11.114,,,China,3/26/2020,Industry,10.303,,,,China,3/26/2020,Domestic Aviation,0.0699622,,,,China,3/26/2020,International Aviation,0.020763,,,,China,3/26/2020,Ground Transport,2.1149,,,,China,3/26/2020,Residential,2.26423,,
EU27 & UK,3/26/2020,Power,2.01498,,,EU27 & UK,3/26/2020,Industry,1.54556,,,,EU27 & UK,3/26/2020,Domestic Aviation,0.00713012,,,,EU27 & UK,3/26/2020,International Aviation,0.0964575,,,,EU27 & UK,3/26/2020,Ground Transport,1.82057,,,,EU27 & UK,3/26/2020,Residential,2.57256,,
India,3/26/2020,Power,3.88547,,,India,3/26/2020,Industry,1.99484,,,,India,3/26/2020,Domestic Aviation,0.000148508,,,,India,3/26/2020,International Aviation,0.00184334,,,,India,3/26/2020,Ground Transport,0.382639,,,,India,3/26/2020,Residential,0.34197,,
ROW,3/26/2020,Power,9.37427,,,ROW,3/26/2020,Industry,8.94843,,,,ROW,3/26/2020,Domestic Aviation,0.0798694,,,,ROW,3/26/2020,International Aviation,0.170188,,,,ROW,3/26/2020,Ground Transport,3.94844,,,,ROW,3/26/2020,Residential,3.0715,,
Russia,3/26/2020,Power,2.21353,,,Russia,3/26/2020,Industry,0.74208,,,,Russia,3/26/2020,Domestic Aviation,0.0366642,,,,Russia,3/26/2020,International Aviation,0.0154262,,,,Russia,3/26/2020,Ground Transport,0.657498,,,,Russia,3/26/2020,Residential,0.518039,,
United States,3/26/2020,Power,3.20415,,,United States,3/26/2020,Industry,2.70941,,,,United States,3/26/2020,Domestic Aviation,0.322673,,,,United States,3/26/2020,International Aviation,0.0845292,,,,United States,3/26/2020,Ground Transport,3.34048,,,,United States,3/26/2020,Residential,1.74979,,
WORLD,3/26/2020,Power,33.3038,,,WORLD,3/26/2020,Industry,27.3089,,,,WORLD,3/26/2020,Domestic Aviation,0.545658,,,,WORLD,3/26/2020,International Aviation,0.41424,,,,WORLD,3/26/2020,Ground Transport,13.1115,,,,WORLD,3/26/2020,Residential,10.9111,,
Brazil,3/27/2020,Power,0.154252,,,Brazil,3/27/2020,Industry,0.322946,,,,Brazil,3/27/2020,Domestic Aviation,0.00631117,,,,Brazil,3/27/2020,International Aviation,0.00601223,,,,Brazil,3/27/2020,Ground Transport,0.338387,,,,Brazil,3/27/2020,Residential,0.0984519,,
China,3/27/2020,Power,10.8086,,,China,3/27/2020,Industry,10.02,,,,China,3/27/2020,Domestic Aviation,0.0742391,,,,China,3/27/2020,International Aviation,0.0219247,,,,China,3/27/2020,Ground Transport,2.20058,,,,China,3/27/2020,Residential,2.70165,,
EU27 & UK,3/27/2020,Power,1.94089,,,EU27 & UK,3/27/2020,Industry,1.48873,,,,EU27 & UK,3/27/2020,Domestic Aviation,0.00721094,,,,EU27 & UK,3/27/2020,International Aviation,0.0904456,,,,EU27 & UK,3/27/2020,Ground Transport,1.787,,,,EU27 & UK,3/27/2020,Residential,2.22323,,
India,3/27/2020,Power,3.92551,,,India,3/27/2020,Industry,2.0154,,,,India,3/27/2020,Domestic Aviation,0.000192669,,,,India,3/27/2020,International Aviation,0.00199342,,,,India,3/27/2020,Ground Transport,0.255928,,,,India,3/27/2020,Residential,0.37769,,
ROW,3/27/2020,Power,9.00586,,,ROW,3/27/2020,Industry,8.90837,,,,ROW,3/27/2020,Domestic Aviation,0.0745124,,,,ROW,3/27/2020,International Aviation,0.168257,,,,ROW,3/27/2020,Ground Transport,3.74065,,,,ROW,3/27/2020,Residential,2.98195,,
Russia,3/27/2020,Power,2.12694,,,Russia,3/27/2020,Industry,0.713051,,,,Russia,3/27/2020,Domestic Aviation,0.0390225,,,,Russia,3/27/2020,International Aviation,0.0123319,,,,Russia,3/27/2020,Ground Transport,0.677211,,,,Russia,3/27/2020,Residential,0.48858,,
United States,3/27/2020,Power,3.16329,,,United States,3/27/2020,Industry,2.70766,,,,United States,3/27/2020,Domestic Aviation,0.294146,,,,United States,3/27/2020,International Aviation,0.0753023,,,,United States,3/27/2020,Ground Transport,3.34782,,,,United States,3/27/2020,Residential,1.55153,,
WORLD,3/27/2020,Power,32.5239,,,WORLD,3/27/2020,Industry,26.9414,,,,WORLD,3/27/2020,Domestic Aviation,0.518789,,,,WORLD,3/27/2020,International Aviation,0.394405,,,,WORLD,3/27/2020,Ground Transport,12.8365,,,,WORLD,3/27/2020,Residential,10.6427,,
Brazil,3/28/2020,Power,0.115983,,,Brazil,3/28/2020,Industry,0.242825,,,,Brazil,3/28/2020,Domestic Aviation,0.00403099,,,,Brazil,3/28/2020,International Aviation,0.00445511,,,,Brazil,3/28/2020,Ground Transport,0.223962,,,,Brazil,3/28/2020,Residential,0.0984519,,
China,3/28/2020,Power,10.9654,,,China,3/28/2020,Industry,10.1653,,,,China,3/28/2020,Domestic Aviation,0.0744634,,,,China,3/28/2020,International Aviation,0.0228921,,,,China,3/28/2020,Ground Transport,1.55429,,,,China,3/28/2020,Residential,2.77722,,
EU27 & UK,3/28/2020,Power,1.55708,,,EU27 & UK,3/28/2020,Industry,1.19433,,,,EU27 & UK,3/28/2020,Domestic Aviation,0.0043699,,,,EU27 & UK,3/28/2020,International Aviation,0.0841597,,,,EU27 & UK,3/28/2020,Ground Transport,1.32443,,,,EU27 & UK,3/28/2020,Residential,2.09758,,
India,3/28/2020,Power,3.89239,,,India,3/28/2020,Industry,1.9984,,,,India,3/28/2020,Domestic Aviation,0.000215588,,,,India,3/28/2020,International Aviation,0.00126089,,,,India,3/28/2020,Ground Transport,0.198305,,,,India,3/28/2020,Residential,0.365881,,
ROW,3/28/2020,Power,9.58659,,,ROW,3/28/2020,Industry,8.92315,,,,ROW,3/28/2020,Domestic Aviation,0.0548511,,,,ROW,3/28/2020,International Aviation,0.158754,,,,ROW,3/28/2020,Ground Transport,2.75332,,,,ROW,3/28/2020,Residential,3.00917,,
Russia,3/28/2020,Power,1.99487,,,Russia,3/28/2020,Industry,0.668775,,,,Russia,3/28/2020,Domestic Aviation,0.0365804,,,,Russia,3/28/2020,International Aviation,0.0117348,,,,Russia,3/28/2020,Ground Transport,0.46371,,,,Russia,3/28/2020,Residential,0.463255,,
United States,3/28/2020,Power,2.68569,,,United States,3/28/2020,Industry,2.45204,,,,United States,3/28/2020,Domestic Aviation,0.260964,,,,United States,3/28/2020,International Aviation,0.073175,,,,United States,3/28/2020,Ground Transport,2.7287,,,,United States,3/28/2020,Residential,1.53156,,
WORLD,3/28/2020,Power,31.9868,,,WORLD,3/28/2020,Industry,26.2954,,,,WORLD,3/28/2020,Domestic Aviation,0.458736,,,,WORLD,3/28/2020,International Aviation,0.376212,,,,WORLD,3/28/2020,Ground Transport,9.66356,,,,WORLD,3/28/2020,Residential,10.7519,,
Brazil,3/29/2020,Power,0.11928,,,Brazil,3/29/2020,Industry,0.249728,,,,Brazil,3/29/2020,Domestic Aviation,0.00289896,,,,Brazil,3/29/2020,International Aviation,0.00518504,,,,Brazil,3/29/2020,Ground Transport,0.0947192,,,,Brazil,3/29/2020,Residential,0.0984519,,
China,3/29/2020,Power,11.2185,,,China,3/29/2020,Industry,10.4,,,,China,3/29/2020,Domestic Aviation,0.0769917,,,,China,3/29/2020,International Aviation,0.0163594,,,,China,3/29/2020,Ground Transport,1.415,,,,China,3/29/2020,Residential,2.71335,,
EU27 & UK,3/29/2020,Power,1.40862,,,EU27 & UK,3/29/2020,Industry,1.08046,,,,EU27 & UK,3/29/2020,Domestic Aviation,0.00434616,,,,EU27 & UK,3/29/2020,International Aviation,0.0750863,,,,EU27 & UK,3/29/2020,Ground Transport,0.913348,,,,EU27 & UK,3/29/2020,Residential,2.49221,,
India,3/29/2020,Power,3.75704,,,India,3/29/2020,Industry,1.9289,,,,India,3/29/2020,Domestic Aviation,0.000172961,,,,India,3/29/2020,International Aviation,0.00165365,,,,India,3/29/2020,Ground Transport,0.119223,,,,India,3/29/2020,Residential,0.360684,,
ROW,3/29/2020,Power,9.66895,,,ROW,3/29/2020,Industry,9.25294,,,,ROW,3/29/2020,Domestic Aviation,0.0513353,,,,ROW,3/29/2020,International Aviation,0.140624,,,,ROW,3/29/2020,Ground Transport,2.10926,,,,ROW,3/29/2020,Residential,2.95512,,
Russia,3/29/2020,Power,1.93651,,,Russia,3/29/2020,Industry,0.649212,,,,Russia,3/29/2020,Domestic Aviation,0.0372103,,,,Russia,3/29/2020,International Aviation,0.00820497,,,,Russia,3/29/2020,Ground Transport,0.315864,,,,Russia,3/29/2020,Residential,0.455179,,
United States,3/29/2020,Power,2.66452,,,United States,3/29/2020,Industry,2.39507,,,,United States,3/29/2020,Domestic Aviation,0.245121,,,,United States,3/29/2020,International Aviation,0.0665895,,,,United States,3/29/2020,Ground Transport,2.47563,,,,United States,3/29/2020,Residential,1.50427,,
WORLD,3/29/2020,Power,32.0282,,,WORLD,3/29/2020,Industry,26.6429,,,,WORLD,3/29/2020,Domestic Aviation,0.441398,,,,WORLD,3/29/2020,International Aviation,0.326831,,,,WORLD,3/29/2020,Ground Transport,7.73479,,,,WORLD,3/29/2020,Residential,11.1169,,
Brazil,3/30/2020,Power,0.133695,,,Brazil,3/30/2020,Industry,0.279907,,,,Brazil,3/30/2020,Domestic Aviation,0.00386047,,,,Brazil,3/30/2020,International Aviation,0.00347854,,,,Brazil,3/30/2020,Ground Transport,0.308441,,,,Brazil,3/30/2020,Residential,0.0984519,,
China,3/30/2020,Power,10.9654,,,China,3/30/2020,Industry,10.1653,,,,China,3/30/2020,Domestic Aviation,0.0659081,,,,China,3/30/2020,International Aviation,0.0153892,,,,China,3/30/2020,Ground Transport,2.23468,,,,China,3/30/2020,Residential,2.47343,,
EU27 & UK,3/30/2020,Power,1.99115,,,EU27 & UK,3/30/2020,Industry,1.52728,,,,EU27 & UK,3/30/2020,Domestic Aviation,0.00529289,,,,EU27 & UK,3/30/2020,International Aviation,0.0685495,,,,EU27 & UK,3/30/2020,Ground Transport,1.71373,,,,EU27 & UK,3/30/2020,Residential,2.77063,,
India,3/30/2020,Power,3.64755,,,India,3/30/2020,Industry,1.87269,,,,India,3/30/2020,Domestic Aviation,0.000145744,,,,India,3/30/2020,International Aviation,0.00115148,,,,India,3/30/2020,Ground Transport,0.28019,,,,India,3/30/2020,Residential,0.351827,,
ROW,3/30/2020,Power,8.74308,,,ROW,3/30/2020,Industry,8.65878,,,,ROW,3/30/2020,Domestic Aviation,0.0562046,,,,ROW,3/30/2020,International Aviation,0.112904,,,,ROW,3/30/2020,Ground Transport,3.55305,,,,ROW,3/30/2020,Residential,2.92093,,
Russia,3/30/2020,Power,1.98494,,,Russia,3/30/2020,Industry,0.665447,,,,Russia,3/30/2020,Domestic Aviation,0.0349574,,,,Russia,3/30/2020,International Aviation,0.00666636,,,,Russia,3/30/2020,Ground Transport,0.507013,,,,Russia,3/30/2020,Residential,0.513665,,
United States,3/30/2020,Power,2.89668,,,United States,3/30/2020,Industry,2.50748,,,,United States,3/30/2020,Domestic Aviation,0.236487,,,,United States,3/30/2020,International Aviation,0.0597394,,,,United States,3/30/2020,Ground Transport,3.18798,,,,United States,3/30/2020,Residential,1.62184,,
WORLD,3/30/2020,Power,31.8128,,,WORLD,3/30/2020,Industry,26.4706,,,,WORLD,3/30/2020,Domestic Aviation,0.425596,,,,WORLD,3/30/2020,International Aviation,0.27846,,,,WORLD,3/30/2020,Ground Transport,12.2474,,,,WORLD,3/30/2020,Residential,11.2008,,
Brazil,3/31/2020,Power,0.118673,,,Brazil,3/31/2020,Industry,0.248458,,,,Brazil,3/31/2020,Domestic Aviation,0.00410909,,,,Brazil,3/31/2020,International Aviation,0.00357978,,,,Brazil,3/31/2020,Ground Transport,0.337138,,,,Brazil,3/31/2020,Residential,0.0984519,,
China,3/31/2020,Power,11.4826,,,China,3/31/2020,Industry,10.6448,,,,China,3/31/2020,Domestic Aviation,0.0755873,,,,China,3/31/2020,International Aviation,0.0183986,,,,China,3/31/2020,Ground Transport,2.1876,,,,China,3/31/2020,Residential,2.37739,,
EU27 & UK,3/31/2020,Power,2.21131,,,EU27 & UK,3/31/2020,Industry,1.69615,,,,EU27 & UK,3/31/2020,Domestic Aviation,0.00561646,,,,EU27 & UK,3/31/2020,International Aviation,0.0625926,,,,EU27 & UK,3/31/2020,Ground Transport,1.7966,,,,EU27 & UK,3/31/2020,Residential,2.78655,,
India,3/31/2020,Power,3.76349,,,India,3/31/2020,Industry,1.93221,,,,India,3/31/2020,Domestic Aviation,0.000347902,,,,India,3/31/2020,International Aviation,0.00194022,,,,India,3/31/2020,Ground Transport,0.29216,,,,India,3/31/2020,Residential,0.351337,,
ROW,3/31/2020,Power,8.64115,,,ROW,3/31/2020,Industry,8.71358,,,,ROW,3/31/2020,Domestic Aviation,0.0553652,,,,ROW,3/31/2020,International Aviation,0.116418,,,,ROW,3/31/2020,Ground Transport,3.77308,,,,ROW,3/31/2020,Residential,2.84306,,
Russia,3/31/2020,Power,1.96772,,,Russia,3/31/2020,Industry,0.659673,,,,Russia,3/31/2020,Domestic Aviation,0.0319717,,,,Russia,3/31/2020,International Aviation,0.00453267,,,,Russia,3/31/2020,Ground Transport,0.516463,,,,Russia,3/31/2020,Residential,0.55665,,
United States,3/31/2020,Power,3.10395,,,United States,3/31/2020,Industry,2.60378,,,,United States,3/31/2020,Domestic Aviation,0.264519,,,,United States,3/31/2020,International Aviation,0.0638503,,,,United States,3/31/2020,Ground Transport,3.23231,,,,United States,3/31/2020,Residential,1.88159,,
WORLD,3/31/2020,Power,32.6832,,,WORLD,3/31/2020,Industry,27.2616,,,,WORLD,3/31/2020,Domestic Aviation,0.459767,,,,WORLD,3/31/2020,International Aviation,0.284952,,,,WORLD,3/31/2020,Ground Transport,12.5921,,,,WORLD,3/31/2020,Residential,11.2344,,
Brazil,4/1/2020,Power,0.150214,,,Brazil,4/1/2020,Industry,0.318005,,,,Brazil,4/1/2020,Domestic Aviation,0.00384331,,,,Brazil,4/1/2020,International Aviation,0.00353935,,,,Brazil,4/1/2020,Ground Transport,0.345955,,,,Brazil,4/1/2020,Residential,0.101734,,
China,4/1/2020,Power,11.7001,,,China,4/1/2020,Industry,12.4643,,,,China,4/1/2020,Domestic Aviation,0.070458,,,,China,4/1/2020,International Aviation,0.0224314,,,,China,4/1/2020,Ground Transport,2.15972,,,,China,4/1/2020,Residential,2.43776,,
EU27 & UK,4/1/2020,Power,2.06871,,,EU27 & UK,4/1/2020,Industry,1.59753,,,,EU27 & UK,4/1/2020,Domestic Aviation,0.00536678,,,,EU27 & UK,4/1/2020,International Aviation,0.0648892,,,,EU27 & UK,4/1/2020,Ground Transport,1.75354,,,,EU27 & UK,4/1/2020,Residential,2.7226,,
India,4/1/2020,Power,3.8414,,,India,4/1/2020,Industry,0.770542,,,,India,4/1/2020,Domestic Aviation,0.000179442,,,,India,4/1/2020,International Aviation,0.00205954,,,,India,4/1/2020,Ground Transport,0.258724,,,,India,4/1/2020,Residential,0.360506,,
ROW,4/1/2020,Power,8.55807,,,ROW,4/1/2020,Industry,8.02465,,,,ROW,4/1/2020,Domestic Aviation,0.053914,,,,ROW,4/1/2020,International Aviation,0.117255,,,,ROW,4/1/2020,Ground Transport,3.72791,,,,ROW,4/1/2020,Residential,2.92104,,
Russia,4/1/2020,Power,1.96705,,,Russia,4/1/2020,Industry,0.723465,,,,Russia,4/1/2020,Domestic Aviation,0.0251074,,,,Russia,4/1/2020,International Aviation,0.00530954,,,,Russia,4/1/2020,Ground Transport,0.464872,,,,Russia,4/1/2020,Residential,0.58453,,
United States,4/1/2020,Power,2.73062,,,United States,4/1/2020,Industry,2.32976,,,,United States,4/1/2020,Domestic Aviation,0.266072,,,,United States,4/1/2020,International Aviation,0.0600899,,,,United States,4/1/2020,Ground Transport,3.35044,,,,United States,4/1/2020,Residential,1.74516,,
WORLD,4/1/2020,Power,32.4433,,,WORLD,4/1/2020,Industry,27.0112,,,,WORLD,4/1/2020,Domestic Aviation,0.446252,,,,WORLD,4/1/2020,International Aviation,0.288959,,,,WORLD,4/1/2020,Ground Transport,12.5125,,,,WORLD,4/1/2020,Residential,11.2249,,
Brazil,4/2/2020,Power,0.151881,,,Brazil,4/2/2020,Industry,0.321535,,,,Brazil,4/2/2020,Domestic Aviation,0.00391662,,,,Brazil,4/2/2020,International Aviation,0.0019639,,,,Brazil,4/2/2020,Ground Transport,0.348111,,,,Brazil,4/2/2020,Residential,0.101734,,
China,4/2/2020,Power,12.1666,,,China,4/2/2020,Industry,12.9612,,,,China,4/2/2020,Domestic Aviation,0.0701735,,,,China,4/2/2020,International Aviation,0.0211978,,,,China,4/2/2020,Ground Transport,2.2103,,,,China,4/2/2020,Residential,2.41358,,
EU27 & UK,4/2/2020,Power,1.83498,,,EU27 & UK,4/2/2020,Industry,1.41703,,,,EU27 & UK,4/2/2020,Domestic Aviation,0.00528692,,,,EU27 & UK,4/2/2020,International Aviation,0.0641096,,,,EU27 & UK,4/2/2020,Ground Transport,1.75817,,,,EU27 & UK,4/2/2020,Residential,2.45452,,
India,4/2/2020,Power,3.90871,,,India,4/2/2020,Industry,0.784043,,,,India,4/2/2020,Domestic Aviation,0.000153861,,,,India,4/2/2020,International Aviation,0.00224776,,,,India,4/2/2020,Ground Transport,0.212895,,,,India,4/2/2020,Residential,0.379141,,
ROW,4/2/2020,Power,8.77296,,,ROW,4/2/2020,Industry,7.95739,,,,ROW,4/2/2020,Domestic Aviation,0.0488553,,,,ROW,4/2/2020,International Aviation,0.114064,,,,ROW,4/2/2020,Ground Transport,3.76159,,,,ROW,4/2/2020,Residential,2.79479,,
Russia,4/2/2020,Power,1.96452,,,Russia,4/2/2020,Industry,0.722538,,,,Russia,4/2/2020,Domestic Aviation,0.0212498,,,,Russia,4/2/2020,International Aviation,0.00560442,,,,Russia,4/2/2020,Ground Transport,0.457801,,,,Russia,4/2/2020,Residential,0.555483,,
United States,4/2/2020,Power,2.73738,,,United States,4/2/2020,Industry,2.3811,,,,United States,4/2/2020,Domestic Aviation,0.241624,,,,United States,4/2/2020,International Aviation,0.0648942,,,,United States,4/2/2020,Ground Transport,3.44142,,,,United States,4/2/2020,Residential,1.62497,,
WORLD,4/2/2020,Power,32.764,,,WORLD,4/2/2020,Industry,27.218,,,,WORLD,4/2/2020,Domestic Aviation,0.412799,,,,WORLD,4/2/2020,International Aviation,0.2864,,,,WORLD,4/2/2020,Ground Transport,12.6391,,,,WORLD,4/2/2020,Residential,10.7407,,
Brazil,4/3/2020,Power,0.151417,,,Brazil,4/3/2020,Industry,0.320553,,,,Brazil,4/3/2020,Domestic Aviation,0.00406179,,,,Brazil,4/3/2020,International Aviation,0.00253471,,,,Brazil,4/3/2020,Ground Transport,0.36173,,,,Brazil,4/3/2020,Residential,0.101734,,
China,4/3/2020,Power,11.8032,,,China,4/3/2020,Industry,12.574,,,,China,4/3/2020,Domestic Aviation,0.0780337,,,,China,4/3/2020,International Aviation,0.0225009,,,,China,4/3/2020,Ground Transport,2.32255,,,,China,4/3/2020,Residential,2.30697,,
EU27 & UK,4/3/2020,Power,1.89312,,,EU27 & UK,4/3/2020,Industry,1.46194,,,,EU27 & UK,4/3/2020,Domestic Aviation,0.00496691,,,,EU27 & UK,4/3/2020,International Aviation,0.0649005,,,,EU27 & UK,4/3/2020,Ground Transport,1.76757,,,,EU27 & UK,4/3/2020,Residential,2.29869,,
India,4/3/2020,Power,3.95727,,,India,4/3/2020,Industry,0.793783,,,,India,4/3/2020,Domestic Aviation,0.000291382,,,,India,4/3/2020,International Aviation,0.0017454,,,,India,4/3/2020,Ground Transport,0.24732,,,,India,4/3/2020,Residential,0.36575,,
ROW,4/3/2020,Power,8.76578,,,ROW,4/3/2020,Industry,7.81789,,,,ROW,4/3/2020,Domestic Aviation,0.046821,,,,ROW,4/3/2020,International Aviation,0.12425,,,,ROW,4/3/2020,Ground Transport,3.67692,,,,ROW,4/3/2020,Residential,2.79002,,
Russia,4/3/2020,Power,1.96323,,,Russia,4/3/2020,Industry,0.722063,,,,Russia,4/3/2020,Domestic Aviation,0.0207747,,,,Russia,4/3/2020,International Aviation,0.00531277,,,,Russia,4/3/2020,Ground Transport,0.480293,,,,Russia,4/3/2020,Residential,0.496638,,
United States,4/3/2020,Power,2.86003,,,United States,4/3/2020,Industry,2.44429,,,,United States,4/3/2020,Domestic Aviation,0.228182,,,,United States,4/3/2020,International Aviation,0.0619185,,,,United States,4/3/2020,Ground Transport,3.32235,,,,United States,4/3/2020,Residential,1.58586,,
WORLD,4/3/2020,Power,32.6136,,,WORLD,4/3/2020,Industry,26.8037,,,,WORLD,4/3/2020,Domestic Aviation,0.40461,,,,WORLD,4/3/2020,International Aviation,0.295673,,,,WORLD,4/3/2020,Ground Transport,12.6396,,,,WORLD,4/3/2020,Residential,10.3003,,
