country,date,sector,value,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,,,country,date,sector,value,,
Brazil,1/3/2020,Power,0.322871,,,Brazil,1/3/2020,Industry,0.336545,,,,Brazil,1/3/2020,Domestic Aviation,0.0347073,,,,Brazil,1/3/2020,International Aviation,0.0195571,,,,Brazil,1/3/2020,Ground Transport,0.446859,,,,Brazil,1/3/2020,Residential,0.0984519,,
China,1/3/2020,Power,15.3147,,,China,1/3/2020,Industry,9.64076,,,,China,1/3/2020,Domestic Aviation,0.175181,,,,China,1/3/2020,International Aviation,0.0846111,,,,China,1/3/2020,Ground Transport,2.61241,,,,China,1/3/2020,Residential,3.38281,,
EU27 & UK,1/3/2020,Power,2.20638,,,EU27 & UK,1/3/2020,Industry,1.32152,,,,EU27 & UK,1/3/2020,Domestic Aviation,0.0430241,,,,EU27 & UK,1/3/2020,International Aviation,0.473447,,,,EU27 & UK,1/3/2020,Ground Transport,2.47029,,,,EU27 & UK,1/3/2020,Residential,2.64818,,
India,1/3/2020,Power,3.37005,,,India,1/3/2020,Industry,2.12503,,,,India,1/3/2020,Domestic Aviation,0.0214139,,,,India,1/3/2020,International Aviation,0.0362615,,,,India,1/3/2020,Ground Transport,0.848483,,,,India,1/3/2020,Residential,1.35679,,
ROW,1/3/2020,Power,9.50116,,,ROW,1/3/2020,Industry,9.18468,,,,ROW,1/3/2020,Domestic Aviation,0.2038,,,,ROW,1/3/2020,International Aviation,0.83356,,,,ROW,1/3/2020,Ground Transport,5.70996,,,,ROW,1/3/2020,Residential,4.94583,,
Russia,1/3/2020,Power,2.62808,,,Russia,1/3/2020,Industry,0.64031,,,,Russia,1/3/2020,Domestic Aviation,0.0439767,,,,Russia,1/3/2020,International Aviation,0.0342188,,,,Russia,1/3/2020,Ground Transport,0.578099,,,,Russia,1/3/2020,Residential,0.730222,,
United States,1/3/2020,Power,3.65034,,,United States,1/3/2020,Industry,2.72751,,,,United States,1/3/2020,Domestic Aviation,0.52675,,,,United States,1/3/2020,International Aviation,0.232614,,,,United States,1/3/2020,Ground Transport,4.65723,,,,United States,1/3/2020,Residential,2.29615,,
WORLD,1/3/2020,Power,38.1976,,,WORLD,1/3/2020,Industry,26.4734,,,,WORLD,1/3/2020,Domestic Aviation,1.07613,,,,WORLD,1/3/2020,International Aviation,1.77013,,,,WORLD,1/3/2020,Ground Transport,17.7852,,,,WORLD,1/3/2020,Residential,16.0036,,
Brazil,1/4/2020,Power,0.323605,,,Brazil,1/4/2020,Industry,0.337311,,,,Brazil,1/4/2020,Domestic Aviation,0.0325312,,,,Brazil,1/4/2020,International Aviation,0.0213272,,,,Brazil,1/4/2020,Ground Transport,0.390397,,,,Brazil,1/4/2020,Residential,0.0984519,,
China,1/4/2020,Power,15.2505,,,China,1/4/2020,Industry,9.60034,,,,China,1/4/2020,Domestic Aviation,0.177159,,,,China,1/4/2020,International Aviation,0.088578,,,,China,1/4/2020,Ground Transport,2.4387,,,,China,1/4/2020,Residential,3.27873,,
